	corpus	fnames	composed_end	annotated_key	chord	numeral	chord_type
0	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
1	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
2	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
3	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
4	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
5	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
6	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
7	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
8	chopin_mazurkas	BI77-4op17-4	1832	a	iv	iv	m
9	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
10	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
11	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
12	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
13	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
14	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
15	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
16	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
17	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
18	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
19	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
20	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
21	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
22	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
23	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
24	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
25	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
26	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
27	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
28	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
29	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
30	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
31	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
32	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
33	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
34	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
35	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
36	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
37	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
38	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
39	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
40	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
41	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
42	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
43	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
44	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
45	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
46	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
47	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
48	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
49	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
50	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
51	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
52	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
53	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
54	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
55	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
56	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
57	chopin_mazurkas	BI77-4op17-4	1832	a	vi6	vi	m
58	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
59	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
60	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
61	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
62	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
63	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
64	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
65	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
66	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
67	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
68	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
69	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
70	chopin_mazurkas	BI77-4op17-4	1832	a	V(#7)	V	M
71	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
72	chopin_mazurkas	BI77-4op17-4	1832	a	i6(11)	i	m
73	chopin_mazurkas	BI77-4op17-4	1832	a	i6	i	m
74	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
75	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
