	corpus	fnames	composed_end	annotated_key	chord	numeral	chord_type
0	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
1	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	#viio2(64)/vi	#vii	o7
2	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	#viio2/vi	#vii	o7
3	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43(42)	vi	mm7
4	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43	vi	mm7
5	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43(42)	V	Mm7
6	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43	V	Mm7
7	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii2(6)	ii	mm7
8	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii2	ii	mm7
9	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V65	V	Mm7
10	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii43(4)	ii	mm7
11	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii43	ii	mm7
12	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V65/vi	V	Mm7
13	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi2	vi	mm7
14	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
15	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43(4)	vi	mm7
16	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43	vi	mm7
17	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43	V	Mm7
18	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
19	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
20	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65(2)	ii	mm7
21	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
22	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6(2)	I	M
23	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
24	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65(2)	ii	mm7
25	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
26	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43/IV	V	Mm7
27	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43(6)/IV	V	Mm7
28	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43/IV	V	Mm7
29	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi(4)	vi	m
30	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi	vi	m
31	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii(2)	ii	m
32	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii	ii	m
33	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii7	ii	mm7
34	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV(4)	IV	M
35	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV64	IV	M
36	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV6	IV	M
37	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii(2)	ii	m
38	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii	ii	m
39	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV64	IV	M
40	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii64	ii	m
41	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(+2)	V	Mm7
42	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	#viio7/vi	#vii	o7
43	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV6	IV	M
44	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7	vii	%7
45	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV64	IV	M
46	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii7	ii	mm7
47	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
48	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	i6(+6)	i	m
49	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43(4)	V	Mm7
50	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
51	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
52	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
53	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
54	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
55	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
56	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
57	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
58	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7/V	V	Mm7
59	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(+2)	V	Mm7
60	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV	IV	M
61	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
62	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(+2)	V	Mm7
63	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV	IV	M
64	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
65	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii	ii	m
66	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV+64	IV	+
67	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii	ii	m
68	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V+	V	+
69	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
70	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
71	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
72	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
73	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
74	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
75	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi2	vi	mm7
76	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi7	vi	mm7
77	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi65	vi	mm7
78	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii6(2)	ii	m
79	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii	ii	m
80	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii(#7)	ii	m
81	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii2	ii	mm7
82	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7	vii	%7
83	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	IV6	IV	M
84	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(+2)	V	Mm7
85	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
86	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii43(2)	ii	mm7
87	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii7	ii	mm7
88	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(4)	V	Mm7
89	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
90	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(4)	V	Mm7
91	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
92	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(42)	V	Mm7
93	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
94	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7(42)	V	Mm7
95	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
96	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
97	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii43	ii	mm7
98	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7	vii	%7
99	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
100	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii43	ii	mm7
101	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7	vii	%7
102	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
103	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65(#4)	ii	mm7
104	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
105	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7/vi	V	Mm7
106	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43(4)	vi	mm7
107	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43	vi	mm7
108	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43(4)	V	Mm7
109	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43	V	Mm7
110	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii2	ii	mm7
111	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii43	iii	mm7
112	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7(64)	vii	%7
113	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vii%7	vii	%7
114	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7/vi	V	Mm7
115	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi2	vi	mm7
116	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
117	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43(4)	vi	mm7
118	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi43	vi	mm7
119	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
120	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
121	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7/IV	V	Mm7
122	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65(2)	ii	mm7
123	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii65	ii	mm7
124	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43(2)/IV	V	Mm7
125	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V43/IV	V	Mm7
126	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi(4)	vi	m
127	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi	vi	m
128	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
129	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	vi64	vi	m
130	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I6	I	M
131	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	ii7	ii	mm7
132	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
133	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii6	iii	m
134	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	V7	V	Mm7
135	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
136	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
137	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
138	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
139	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
140	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	i64	i	m
141	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
142	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
143	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
144	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	iii	iii	m
145	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
146	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	i64	i	m
147	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	bIII6	bIII	M
148	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	i64	i	m
149	debussy_suite_bergamasque	l075-03_suite_clair	1905	Db	I	I	M
