mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	1/8	1/8	9/8	2	1	1/8		1/8	1	1	-1	65		3
1	1	1/8	1/8	9/8	2	1	1/8		1/8	1	1	-4	68		3
1	1	1/4	1/4	9/8	2	1	1/8		1/8	1	0	-1	65		4
1	1	1/4	1/4	9/8	2	1	1/8		1/8	1	0	-4	68		4
1	1	1/4	1/4	9/8	1	1	1/8		1/8	1	1	-1	77		0
1	1	1/4	1/4	9/8	1	1	1/8		1/8	1	1	-4	80		0
1	1	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-1	65		5
1	1	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-4	68		5
1	1	3/8	3/8	9/8	1	1	3/8		1/4	3/2	-1	-1	77		1
1	1	3/8	3/8	9/8	1	1	3/8		1/4	3/2	-1	-4	80		1
1	1	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-5	73		2
1	1	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-1	77		2
2	2	0	0	9/8	2	1	3/4		1/2	3/2	1	-6	66		10
2	2	0	0	9/8	2	1	3/4		1/2	3/2	1	3	69		10
2	2	0	0	9/8	1	1	1/8		1/8	1	-1	-5	73		6
2	2	0	0	9/8	1	1	1/8		1/8	1	-1	-1	77		6
2	2	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72		7
2	2	1/8	1/8	9/8	1	1	1/8		1/8	1		-3	75		7
2	2	1/4	1/4	9/8	1	1	1/8		1/8	1		-5	73		8
2	2	1/4	1/4	9/8	1	1	1/8		1/8	1		-1	77		8
2	2	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	0	72		9
2	2	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	-3	75		9
2	2	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-6	66		11
2	2	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	3	69		11
3	3	0	0	9/8	2	1	3/4		1/2	3/2	1	-1	65		20
3	3	0	0	9/8	2	1	3/4		1/2	3/2	1	-4	68		20
3	3	0	0	9/8	1	1	1/8		1/8	1	-1	0	72		12
3	3	0	0	9/8	1	1	1/8		1/8	1	-1	-3	75		12
3	3	1/8	1/8	9/8	1	1	1/8		1/8	1		-2	70		13
3	3	1/8	1/8	9/8	1	1	1/8		1/8	1		-5	73		13
3	3	1/4	1/4	9/8	1	1	1/8		1/8	1		0	72		14
3	3	1/4	1/4	9/8	1	1	1/8		1/8	1		-3	75		14
3	3	3/8	3/8	9/8	1	2	3/4		1/2	3/2	1	-2	70		19
3	3	3/8	3/8	9/8	1	1	3/16		1/8	3/2		-5	73		15
3	3	9/16	9/16	9/8	1	1	3/16		1/8	3/2	1	-1	77		16
3	3	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-1	65		21
3	3	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-4	68		21
3	3	3/4	3/4	9/8	1	1	3/16		1/8	3/2	-1	-1	77		17
3	3	15/16	15/16	9/8	1	1	3/16		1/8	3/2	1	-5	73		18
4	4	0	0	9/8	2	1	3/4		1/2	3/2	1	-3	63		26
4	4	0	0	9/8	2	1	3/4		1/2	3/2	1	-6	66		26
4	4	0	0	9/8	1	1	1/8		1/8	1	-1	-2	70		22
4	4	0	0	9/8	1	1	1/8		1/8	1	-1	-5	73		22
4	4	1/8	1/8	9/8	1	1	1/8		1/8	1		-4	68		23
4	4	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72		23
4	4	1/4	1/4	9/8	1	1	1/8		1/8	1		-2	70		24
4	4	1/4	1/4	9/8	1	1	1/8		1/8	1		-5	73		24
4	4	3/8	3/8	9/8	1	1	3/4		1/2	3/2		-4	68		25
4	4	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	0	72		25
4	4	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-3	63		27
4	4	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-6	66		27
5	5	0	0	9/8	2	2	3/4		1/2	3/2		-5	61		41
5	5	0	0	9/8	2	1	3/4		1/2	3/2		-3	63		39
5	5	0	0	9/8	1	2	3/4		1/2	3/2		-6	66		37
5	5	0	0	9/8	1	1	1/8		1/8	1	-1	0	72		28
5	5	1/8	1/8	9/8	1	1	1/8		1/8	1		-2	70		29
5	5	1/4	1/4	9/8	1	1	1/8		1/8	1		0	72		30
5	5	3/8	3/8	9/8	1	1	1/8		1/8	1		-2	70		31
5	5	1/2	1/2	9/8	1	1	1/8		1/8	1		-3	75		32
5	5	5/8	5/8	9/8	1	1	1/8		1/8	1		-2	70		33
5	5	3/4	3/4	9/8	2	2	3/8		1/4	3/2		0	60		42
5	5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		-3	63		40
5	5	3/4	3/4	9/8	1	2	3/8		1/4	3/2		-6	66		38
5	5	3/4	3/4	9/8	1	1	1/8		1/8	1		-4	68		34
5	5	7/8	7/8	9/8	1	1	1/8		1/8	1		-2	70		35
5	5	1	1	9/8	1	1	1/8		1/8	1	1	-4	68		36
6	6	0	0	9/8	2	2	3/4		1/2	3/2		-2	58		52
6	6	0	0	9/8	2	1	3/4		1/2	3/2		-5	61		50
6	6	0	0	9/8	1	2	3/4		1/2	3/2		-3	63		48
6	6	0	0	9/8	1	1	1/8		1/8	1	-1	-4	68		43
6	6	1/8	1/8	9/8	1	1	1/8		1/8	1		-6	66		44
6	6	1/4	1/4	9/8	1	1	1/8		1/8	1		-4	68		45
6	6	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-6	66		46
6	6	3/4	3/4	9/8	2	2	3/8		1/4	3/2		3	57		53
6	6	3/4	3/4	9/8	2	1	3/8		1/4	3/2		0	60		51
6	6	3/4	3/4	9/8	1	2	3/8		1/4	3/2		-3	63		49
6	6	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-1	65		47
7	7	0	0	9/8	2	2	3/4		1/2	3/2		-4	56		67
7	7	0	0	9/8	2	1	3/4		1/2	3/2	1	-2	58		65
7	7	0	0	9/8	1	2	3/4		1/2	3/2	1	-5	61		63
7	7	0	0	9/8	1	1	1/8		1/8	1	-1	-1	65		54
7	7	1/8	1/8	9/8	1	1	1/8		1/8	1		-1	65		55
7	7	1/4	1/4	9/8	1	1	1/8		1/8	1		-6	66		56
7	7	3/8	3/8	9/8	1	1	1/8		1/8	1		-1	65		57
7	7	1/2	1/2	9/8	1	1	1/8		1/8	1		-2	70		58
7	7	5/8	5/8	9/8	1	1	1/8		1/8	1		-1	65		59
7	7	3/4	3/4	9/8	2	2	3/8		1/4	3/2		-6	54		68
7	7	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-2	58		66
7	7	3/4	3/4	9/8	1	2	3/8		1/4	3/2	-1	-5	61		64
7	7	3/4	3/4	9/8	1	1	1/8		1/8	1		-3	63		60
7	7	7/8	7/8	9/8	1	1	1/8		1/8	1		-1	65		61
7	7	1	1	9/8	1	1	1/8		1/8	1	1	-3	63		62
8	8	0	0	9/8	2	2	3/4		1/2	3/2		-1	53		78
8	8	0	0	9/8	2	1	3/4		1/2	3/2		-4	56		76
8	8	0	0	9/8	1	2	3/4		1/2	3/2		-2	58		74
8	8	0	0	9/8	1	1	1/8		1/8	1	-1	-3	63		69
8	8	1/8	1/8	9/8	1	1	1/8		1/8	1		-5	61		70
8	8	1/4	1/4	9/8	1	1	1/8		1/8	1		-3	63		71
8	8	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-5	61		72
8	8	3/4	3/4	9/8	2	2	3/16		1/8	3/2		-3	51		79
8	8	3/4	3/4	9/8	2	1	3/8		1/4	3/2		-6	54		77
8	8	3/4	3/4	9/8	1	2	3/8		1/4	3/2		-4	56		75
8	8	3/4	3/4	9/8	1	1	3/8		1/4	3/2		0	60		73
8	8	15/16	15/16	9/8	2	2	3/16		1/8	3/2	1	-4	44		80
9	9	0	0	9/8	2	1	1/8		1/8	1		-5	37		83
9	9	0	0	9/8	2	1	1/8		1/8	1	-1	-4	44		83
9	9	1/8	1/8	9/8	2	1	1/8		1/8	1		-1	53		84
9	9	1/8	1/8	9/8	2	1	1/8		1/8	1		-4	56		84
9	9	1/4	1/4	9/8	2	1	1/8		1/8	1	1	-1	65		85
9	9	1/4	1/4	9/8	2	1	1/8		1/8	1	1	-4	68		85
9	9	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-1	65		86
9	9	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-4	68		86
9	9	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-1	77		81
9	9	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-4	80		81
9	9	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-5	73		82
9	9	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-1	77		82
10	10	0	0	9/8	2	2	3/4		1/2	3/2		-6	42		95
10	10	0	0	9/8	2	2	3/4		1/2	3/2		-5	49		95
10	10	0	0	9/8	1	1	1/8		1/8	1	-1	-5	73		87
10	10	0	0	9/8	1	1	1/8		1/8	1	-1	-1	77		87
10	10	1/8	1/8	9/8	2	1	1/4		1/4	1	1	-5	49		93
10	10	1/8	1/8	9/8	2	1	1/4		1/4	1	1	-6	54		93
10	10	1/8	1/8	9/8	2	1	1/4		1/4	1	1	-2	58		93
10	10	1/8	1/8	9/8	2	1	1/4		1/4	1	1	-5	61		93
10	10	1/8	1/8	9/8	1	2	1/4		1/4	1	1	-6	66		91
10	10	1/8	1/8	9/8	1	2	1/4		1/4	1	1	-2	70		91
10	10	1/8	1/8	9/8	1	1	1/8		1/8	1		-3	75		88
10	10	1/4	1/4	9/8	1	1	1/8		1/8	1		-1	77		89
10	10	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-5	49		94
10	10	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-6	54		94
10	10	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-2	58		94
10	10	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-5	61		94
10	10	3/8	3/8	9/8	1	2	3/4		1/2	3/2	-1	-6	66		92
10	10	3/8	3/8	9/8	1	2	3/4		1/2	3/2	-1	-2	70		92
10	10	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	-3	75		90
11	11	0	0	9/8	2	2	3/4		1/2	3/2		-1	41		107
11	11	0	0	9/8	2	2	3/4		1/2	3/2		-5	49		107
11	11	0	0	9/8	1	1	1/8		1/8	1	-1	-3	75		96
11	11	1/8	1/8	9/8	2	1	1/4		1/4	1		-1	53		104
11	11	1/8	1/8	9/8	2	1	1/4		1/4	1		-4	56		104
