mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	2	1	1/8	1/8	1		6	42		0
1	1	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		1
1	1	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		2
1	1	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		3
1	1	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		4
1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		5
1	1	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		6
1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		7
2	2	0	0	4/4	2	1	1/8	1/8	1		3	45		8
2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		9
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		10
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		11
2	2	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		12
2	2	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		13
2	2	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		14
2	2	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		15
3	3	0	0	4/4	2	1	1/8	1/8	1		6	42		19
3	3	0	0	4/4	1	1	1/4	1/4	1		6	66		16
3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		20
3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		21
3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		17
3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		22
3	3	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		23
3	3	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		18
3	3	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		24
3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		25
3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		26
4	4	0	0	4/4	2	1	1/8	1/8	1		3	45		33
4	4	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		27
4	4	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		34
4	4	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		35
4	4	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		28
4	4	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		36
4	4	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		29
4	4	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		37
4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		30
4	4	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		38
4	4	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		39
4	4	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64		31
4	4	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		40
4	4	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62		32
5	5	0	0	4/4	2	1	1/8	1/8	1		6	42		46
5	5	0	0	4/4	1	1	1/4	1/4	1		7	61		41
5	5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		47
5	5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		48
5	5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		42
5	5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		49
5	5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64		43
5	5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	45		50
5	5	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		44
5	5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		51
5	5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		52
5	5	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		45
5	5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		53
6	6	0	0	4/4	2	1	1/8	1/8	1		7	49		55
6	6	0	0	4/4	1	1	1	1	1	1	8	68		54
6	6	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		56
6	6	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		57
6	6	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		58
6	6	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		59
6	6	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		60
6	6	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		61
6	6	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		62
7	7	0	0	4/4	2	1	1/8	1/8	1		3	45		70
7	7	0	0	4/4	1	1	1/8	1/8	1	-1	8	68		63
7	7	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		71
7	7	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66		64
7	7	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		72
7	7	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68		65
7	7	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		73
7	7	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		66
7	7	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		74
7	7	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66		68
7	7	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		67
7	7	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		75
7	7	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		76
7	7	3/4	3/4	4/4	1	2	1/4	1/4	1		11	65		69
7	7	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		77
8	8	0	0	4/4	2	1	1/8	1/8	1		6	42		86
8	8	0	0	4/4	1	2	1/4	1/4	1		7	61		83
8	8	0	0	4/4	1	1	1/8	1/8	1	-1	5	71		78
8	8	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		87
8	8	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69		79
8	8	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		88
8	8	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71		80
8	8	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		89
8	8	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		81
8	8	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		90
8	8	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69		84
8	8	1/2	1/2	4/4	1	1	1/2	1/2	1	1	2	74		82
8	8	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52		91
8	8	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		92
8	8	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68		85
8	8	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		93
9	9	0	0	4/4	2	1	1/8	1/8	1		3	45		101
9	9	0	0	4/4	1	2	1/4	1/4	1		4	64		99
9	9	0	0	4/4	1	1	1/8	1/8	1	-1	2	74		94
9	9	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		102
9	9	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73		95
9	9	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		103
9	9	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74		96
9	9	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		104
9	9	3/8	3/8	4/4	1	1	1/8	1/8	1		4	76		97
9	9	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50		105
9	9	1/2	1/2	4/4	1	2	1/2	1/2	1	1	2	74		100
9	9	1/2	1/2	4/4	1	1	1/2	1/2	1	1	6	78		98
9	9	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		106
9	9	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		107
9	9	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66		108
10	10	0	0	4/4	2	1	1/8	1/8	1		3	57		112
10	10	0	0	4/4	1	2	1/4	1/4	1	-1	2	74		111
10	10	0	0	4/4	1	1	1/2	1/2	1	-1	6	78		109
10	10	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62		113
10	10	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		114
10	10	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69		115
10	10	1/2	1/2	4/4	1	1	1/2	1/2	1	1	6	66		110
10	10	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62		116
10	10	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		117
10	10	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59		118
11	11	0	0	4/4	2	1	1/8	1/8	1		3	57		122
11	11	0	0	4/4	1	1	1/4	1/4	1	-1	6	66		119
11	11	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		123
11	11	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		124
11	11	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		120
11	11	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		125
11	11	1/2	1/2	4/4	2	1	1/8	1/8	1		8	56		126
11	11	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		121
11	11	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		127
11	11	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		128
11	11	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		129
12	12	0	0	4/4	2	1	1/8	1/8	1		4	52		136
12	12	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		130
12	12	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		137
12	12	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		138
12	12	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		131
12	12	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59		139
12	12	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		132
12	12	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		140
12	12	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		133
12	12	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		141
12	12	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		142
12	12	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64		134
12	12	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		143
12	12	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62		135
