mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	F.V     	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
2 	2 	1/2     	1/2     	4/4    	5    	1    	vi      	IV6      	F        	I       	     	vi      	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
3 	3 	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
4 	4 	1/2     	1/2     	4/4    	5    	1    	ii      	         	F        	I       	     	ii      	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
4 	4 	7/8     	7/8     	4/4    	5    	1    	viio6   	         	F        	I       	     	viio6   	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
5 	5 	0       	0       	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
7 	7 	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
7 	7 	1/2     	1/2     	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
7 	7 	3/4     	3/4     	4/4    	5    	1    	ii      	         	F        	I       	     	ii      	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
8 	8 	0       	0       	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
8 	8 	1/4     	1/4     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
8 	8 	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
8 	8 	3/4     	3/4     	4/4    	5    	1    	I64     	         	F        	I       	     	I64     	I      	    	64     	       	            	       	         	M         	0                 	0                	1, 0, 4    	           	0   	1
9 	9 	0       	0       	4/4    	5    	1    	bVII    	         	F        	I       	     	bVII    	bVII   	    	       	       	            	       	         	M         	0                 	0                	-2, 2, -1  	           	-2  	-2
9 	9 	1/4     	1/4     	4/4    	5    	1    	bVII64  	         	F        	I       	     	bVII64  	bVII   	    	64     	       	            	       	         	M         	0                 	0                	-1, -2, 2  	           	-2  	-1
9 	9 	1/2     	1/2     	4/4    	5    	1    	vi      	         	F        	I       	     	vi      	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
9 	9 	3/4     	3/4     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
10	10	0       	0       	4/4    	5    	1    	V6(4)   	         	F        	I       	     	V6(4)   	V      	    	6      	4      	            	       	         	M         	0                 	0                	0, 2, 1    	           	1   	0
10	10	1/4     	1/4     	4/4    	5    	1    	V6      	         	F        	I       	     	V6      	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
10	10	3/8     	3/8     	4/4    	5    	1    	viio    	         	F        	I       	     	viio    	vii    	o   	       	       	            	       	         	o         	0                 	0                	5, 2, -1   	           	5   	5
10	10	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
10	10	3/4     	3/4     	4/4    	5    	1    	vi      	         	F        	I       	     	vi      	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
11	11	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
11	11	1/4     	1/4     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
11	11	1/2     	1/2     	4/4    	5    	1    	V(4)    	         	F        	I       	     	V(4)    	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
11	11	3/4     	3/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
12	12	0       	0       	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
12	12	1/4     	1/4     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
13	13	1/2     	1/2     	4/4    	5    	1    	ii      	viio6    	F        	I       	     	ii      	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
14	14	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
15	15	1/2     	1/2     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
16	16	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
17	17	1/2     	1/2     	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
17	17	3/4     	3/4     	4/4    	5    	1    	ii      	         	F        	I       	     	ii      	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
18	18	0       	0       	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
18	18	1/4     	1/4     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
18	18	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
18	18	3/4     	3/4     	4/4    	5    	1    	I64     	         	F        	I       	     	I64     	I      	    	64     	       	            	       	         	M         	0                 	0                	1, 0, 4    	           	0   	1
19	19	0       	0       	4/4    	5    	1    	bVII    	         	F        	I       	     	bVII    	bVII   	    	       	       	            	       	         	M         	0                 	0                	-2, 2, -1  	           	-2  	-2
19	19	1/2     	1/2     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
19	19	3/4     	3/4     	4/4    	5    	1    	vi6     	         	F        	I       	     	vi6     	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
20	20	0       	0       	4/4    	5    	1    	V6(4)   	         	F        	I       	     	V6(4)   	V      	    	6      	4      	            	       	         	M         	0                 	0                	0, 2, 1    	           	1   	0
20	20	1/4     	1/4     	4/4    	5    	1    	V6      	         	F        	I       	     	V6      	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
20	20	1/2     	1/2     	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
20	20	3/4     	3/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
21	21	0       	0       	4/4    	5    	1    	vi      	         	F        	I       	     	vi      	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
22	22	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
22	22	1/2     	1/2     	4/4    	5    	1    	ii6     	         	F        	I       	     	ii6     	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
22	22	3/4     	3/4     	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
23	23	0       	0       	4/4    	5    	1    	iii     	         	F        	I       	     	iii     	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5    	           	4   	4
23	23	1/2     	1/2     	4/4    	5    	1    	V(4)/V  	         	F        	I       	     	V(4)/V  	V      	    	       	4      	V           	       	         	M         	0                 	0                	2, 1, 3    	           	2   	2
23	23	3/4     	3/4     	4/4    	5    	1    	V/V     	         	F        	I       	     	V/V     	V      	    	       	       	V           	       	         	M         	0                 	0                	2, 6, 3    	           	2   	2
24	24	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
24	24	1/2     	1/2     	4/4    	5    	1    	IV(9)   	         	F        	I       	     	IV(9)   	IV     	    	       	9      	            	       	         	M         	0                 	0                	-1, 3, 0   	1          	-1  	-1
24	24	3/4     	3/4     	4/4    	5    	1    	ii6     	         	F        	I       	     	ii6     	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
25	25	0       	0       	4/4    	5    	1    	V7      	         	F        	I       	     	V7      	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1	           	1   	1
25	25	1/4     	1/4     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
25	25	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
26	26	0       	0       	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
26	26	3/4     	3/4     	4/4    	5    	1    	IV.V    	         	F        	IV      	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
