mc	mn	mc_onset	mn_onset	timesig	staff	voice	label  	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	F.I    	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
2 	2 	1       	1       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
2 	2 	3/2     	3/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
3 	3 	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
4 	4 	1/2     	1/2     	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
4 	4 	1       	1       	4/4    	5    	1    	IVM65  	         	F        	I       	     	IVM65  	IV     	M   	65     	       	            	       	         	MM7       	0                 	0                	3, 0, 4, -1	           	-1  	3
4 	4 	3/2     	3/2     	4/4    	5    	1    	vii%7  	         	F        	I       	     	vii%7  	vii    	%   	7      	       	            	       	         	%7        	0                 	0                	5, 2, -1, 3	           	5   	5
5 	5 	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
6 	6 	0       	0       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
6 	6 	1/2     	1/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
6 	6 	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
8 	8 	1/2     	1/2     	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
8 	8 	1       	1       	4/4    	5    	1    	IVM7   	         	F        	I       	     	IVM7   	IV     	M   	7      	       	            	       	         	MM7       	0                 	0                	-1, 3, 0, 4	           	-1  	-1
8 	8 	3/2     	3/2     	4/4    	5    	1    	ii6    	         	F        	I       	     	ii6    	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
9 	9 	0       	0       	4/4    	5    	1    	iii    	         	F        	I       	     	iii    	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5    	           	4   	4
9 	9 	1       	1       	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
9 	9 	3/2     	3/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
10	10	0       	0       	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
10	10	1       	1       	4/4    	5    	1    	iii6   	         	F        	I       	     	iii6   	iii    	    	6      	       	            	       	         	m         	0                 	0                	1, 5, 4    	           	4   	1
10	10	3/2     	3/2     	4/4    	5    	1    	iii    	         	F        	I       	     	iii    	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5    	           	4   	4
11	11	0       	0       	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
11	11	1       	1       	4/4    	5    	1    	V      	         	F        	I       	     	V      	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
12	12	0       	0       	4/4    	5    	1    	I\\    	         	F        	I       	     	I      	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
12	12	1/2     	1/2     	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
13	13	1/2     	1/2     	4/4    	5    	1    	IV6    	         	F        	I       	     	IV6    	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
13	13	3/2     	3/2     	4/4    	5    	1    	vii%7  	         	F        	I       	     	vii%7  	vii    	%   	7      	       	            	       	         	%7        	0                 	0                	5, 2, -1, 3	           	5   	5
14	14	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
15	15	1       	1       	4/4    	5    	1    	V(4)/V 	         	F        	I       	     	V(4)/V 	V      	    	       	4      	V           	       	         	M         	0                 	0                	2, 1, 3    	           	2   	2
15	15	3/2     	3/2     	4/4    	5    	1    	V/V    	         	F        	I       	     	V/V    	V      	    	       	       	V           	       	         	M         	0                 	0                	2, 6, 3    	           	2   	2
16	16	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
17	17	1       	1       	4/4    	5    	1    	IV6    	         	F        	I       	     	IV6    	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
17	17	3/2     	3/2     	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
18	18	0       	0       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
18	18	1/2     	1/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
18	18	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
19	19	0       	0       	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
19	19	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
20	20	0       	0       	4/4    	5    	1    	IVM65  	         	F        	I       	     	IVM65  	IV     	M   	65     	       	            	       	         	MM7       	0                 	0                	3, 0, 4, -1	           	-1  	3
20	20	1/2     	1/2     	4/4    	5    	1    	vii%7  	         	F        	I       	     	vii%7  	vii    	%   	7      	       	            	       	         	%7        	0                 	0                	5, 2, -1, 3	           	5   	5
20	20	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
21	21	1       	1       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
21	21	3/2     	3/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
22	22	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
23	23	0       	0       	4/4    	5    	1    	V      	         	F        	I       	     	V      	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
23	23	1       	1       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
24	24	0       	0       	4/4    	5    	1    	vi6    	         	F        	I       	     	vi6    	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
24	24	1/2     	1/2     	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
24	24	1       	1       	4/4    	5    	1    	V6     	         	F        	I       	     	V6     	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
24	24	7/4     	7/4     	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
25	25	0       	0       	4/4    	5    	1    	vi[I6  	         	F        	I       	vi   	I6     	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0    	           	0   	4
25	25	1/2     	1/2     	4/4    	5    	1    	viio6  	         	F        	I       	vi   	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
25	25	3/4     	3/4     	4/4    	5    	1    	vi6]   	         	F        	I       	vi   	vi6    	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
25	25	1       	1       	4/4    	5    	1    	V      	         	F        	I       	     	V      	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
26	26	0       	0       	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
26	26	1/2     	1/2     	4/4    	5    	1    	I6     	         	F        	I       	     	I6     	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0    	           	0   	4
26	26	3/2     	3/2     	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
27	27	0       	0       	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
27	27	1       	1       	4/4    	5    	1    	V(4)   	         	F        	I       	     	V(4)   	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
27	27	3/2     	3/2     	4/4    	5    	1    	V      	         	F        	I       	     	V      	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
28	28	0       	0       	4/4    	5    	1    	I\\    	         	F        	I       	     	I      	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
28	28	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
29	29	1       	1       	4/4    	5    	1    	V6     	         	F        	I       	     	V6     	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
30	30	0       	0       	4/4    	5    	1    	IV6(2) 	         	F        	I       	     	IV6(2) 	IV     	    	6      	2      	            	       	         	M         	0                 	0                	3, 0, 1    	           	-1  	3
30	30	1       	1       	4/4    	5    	1    	IV6    	         	F        	I       	     	IV6    	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
31	31	0       	0       	4/4    	5    	1    	iii6   	         	F        	I       	     	iii6   	iii    	    	6      	       	            	       	         	m         	0                 	0                	1, 5, 4    	           	4   	1
31	31	1       	1       	4/4    	5    	1    	I6     	         	F        	I       	     	I6     	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0    	           	0   	4
32	32	0       	0       	4/4    	5    	1    	ii6    	         	F        	I       	     	ii6    	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
32	32	1/2     	1/2     	4/4    	5    	1    	ii6(2) 	         	F        	I       	     	ii6(2) 	ii     	    	6      	2      	            	       	         	m         	0                 	0                	-1, 3, 4   	           	2   	-1
32	32	3/2     	3/2     	4/4    	5    	1    	vii%43 	         	F        	I       	     	vii%43 	vii    	%   	43     	       	            	       	         	%7        	0                 	0                	-1, 3, 5, 2	           	5   	-1
33	33	0       	0       	4/4    	5    	1    	vi64   	I6(6)    	F        	I       	     	vi64   	vi     	    	64     	       	            	       	         	m         	0                 	0                	4, 3, 0    	           	3   	4
33	33	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
33	33	3/2     	3/2     	4/4    	5    	1    	I6     	         	F        	I       	     	I6     	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0    	           	0   	4
34	34	0       	0       	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
34	34	1/2     	1/2     	4/4    	5    	1    	V7     	         	F        	I       	     	V7     	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1	           	1   	1
34	34	1       	1       	4/4    	5    	1    	IV6    	         	F        	I       	     	IV6    	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
34	34	3/2     	3/2     	4/4    	5    	1    	vii%7  	         	F        	I       	     	vii%7  	vii    	%   	7      	       	            	       	         	%7        	0                 	0                	5, 2, -1, 3	           	5   	5
35	35	0       	0       	4/4    	5    	1    	vi6    	I(6)     	F        	I       	     	vi6    	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
