mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
1  	1  	0       	0       	4/4    	5    	1    	d.VI     	iv6      	d        	i       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3   	           	-4  	-4
2  	2  	0       	0       	4/4    	5    	1    	#vi      	IV6      	d        	i       	     	#vi      	#vi    	    	       	       	            	       	         	m         	1                 	1                	3, 0, 4     	           	3   	3
3  	3  	0       	0       	4/4    	5    	1    	VII      	v6       	d        	i       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1   	           	-2  	-2
4  	4  	0       	0       	4/4    	5    	1    	#viio    	V6       	d        	i       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1    	           	5   	5
5  	5  	0       	0       	4/4    	5    	1    	i6       	         	d        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
5  	5  	1/4     	1/4     	4/4    	5    	1    	i        	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
5  	5  	1/2     	1/2     	4/4    	5    	1    	VI       	         	d        	i       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3   	           	-4  	-4
6  	6  	0       	0       	4/4    	5    	1    	#viio6/iv	         	d        	i       	     	#viio6/iv	#vii   	o   	6      	       	iv          	       	         	o         	1                 	1                	1, -2, 4    	           	4   	1
7  	7  	0       	0       	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
8  	8  	0       	0       	4/4    	5    	1    	II       	V/v      	d        	i       	     	II       	II     	    	       	       	            	       	         	M         	1                 	1                	2, 6, 3     	           	2   	2
9  	9  	0       	0       	4/4    	5    	1    	v        	         	d        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2    	           	1   	1
9  	9  	1/4     	1/4     	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2   	           	-3  	-3
10 	10 	0       	0       	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
10 	10 	3/4     	3/4     	4/4    	5    	1    	#viio64  	         	d        	i       	     	#viio64  	#vii   	o   	64     	       	            	       	         	o         	1                 	1                	-1, 5, 2    	           	5   	-1
11 	11 	0       	0       	4/4    	5    	1    	i6       	         	d        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
11 	11 	1/4     	1/4     	4/4    	5    	1    	i        	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
