mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	G.I      	         	G        	I       	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
2 	2 	0       	0       	4/4    	5    	1    	vi7      	         	G        	I       	     	vi7      	vi     	    	7      	       	            	       	         	mm7       	0                 	0                	3, 0, 4, 1  	           	3   	3
2 	2 	1/2     	1/2     	4/4    	5    	1    	I6(9+4)  	         	G        	I       	     	I6(9+4)  	I      	    	6      	9+4    	            	       	         	M         	0                 	0                	4, 1, 0     	2, -1      	0   	4
2 	2 	3/4     	3/4     	4/4    	5    	1    	I6       	         	G        	I       	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
3 	3 	0       	0       	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
4 	4 	0       	0       	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
4 	4 	1/2     	1/2     	4/4    	5    	1    	IV.V     	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
5 	5 	0       	0       	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
6 	6 	0       	0       	4/4    	5    	1    	vi7      	         	G        	IV      	     	vi7      	vi     	    	7      	       	            	       	         	mm7       	0                 	0                	3, 0, 4, 1  	           	3   	3
6 	6 	1/2     	1/2     	4/4    	5    	1    	I6(9+4)  	         	G        	IV      	     	I6(9+4)  	I      	    	6      	9+4    	            	       	         	M         	0                 	0                	4, 1, 0     	2, -1      	0   	4
6 	6 	3/4     	3/4     	4/4    	5    	1    	I6       	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
7 	7 	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
8 	8 	0       	0       	4/4    	5    	1    	I\\      	         	G        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
9 	9 	0       	0       	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
9 	9 	1/2     	1/2     	4/4    	5    	1    	vi6      	         	G        	IV      	     	vi6      	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3     	           	3   	0
9 	9 	3/4     	3/4     	4/4    	5    	1    	V6       	         	G        	IV      	     	V6       	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1     	           	1   	5
10	10	0       	0       	4/4    	5    	1    	IV6      	         	G        	IV      	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
10	10	1/2     	1/2     	4/4    	5    	1    	vi       	         	G        	IV      	     	vi       	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4     	           	3   	3
10	10	3/4     	3/4     	4/4    	5    	1    	viio6/V  	         	G        	IV      	     	viio6/V  	vii    	o   	6      	       	V           	       	         	o         	0                 	0                	3, 0, 6     	           	6   	3
11	11	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
11	11	1/2     	1/2     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
12	12	1/2     	1/2     	4/4    	5    	1    	I6       	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
13	13	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
13	13	1/4     	1/4     	4/4    	5    	1    	V7(94)   	         	G        	IV      	     	V7(94)   	V      	    	7      	94     	            	       	         	Mm7       	0                 	0                	1, 0, 2, -1 	3          	1   	1
13	13	1/2     	1/2     	4/4    	5    	1    	V7(4)    	         	G        	IV      	     	V7(4)    	V      	    	7      	4      	            	       	         	Mm7       	0                 	0                	1, 0, 2, -1 	           	1   	1
13	13	3/4     	3/4     	4/4    	5    	1    	V7       	         	G        	IV      	     	V7       	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1 	           	1   	1
14	14	0       	0       	4/4    	5    	1    	I\\      	         	G        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
14	14	1/2     	1/2     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
15	15	1/4     	1/4     	4/4    	5    	1    	viio     	         	G        	IV      	     	viio     	vii    	o   	       	       	            	       	         	o         	0                 	0                	5, 2, -1    	           	5   	5
15	15	1/2     	1/2     	4/4    	5    	1    	IV6      	         	G        	IV      	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
16	16	0       	0       	4/4    	5    	1    	vi       	         	G        	IV      	     	vi       	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4     	           	3   	3
16	16	1/4     	1/4     	4/4    	5    	1    	viio6/V  	         	G        	IV      	     	viio6/V  	vii    	o   	6      	       	V           	       	         	o         	0                 	0                	3, 0, 6     	           	6   	3
