mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	d.i        	         	d        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
5 	5 	0       	0       	4/4    	5    	1    	VIM7       	         	d        	i       	     	VIM7   	VI     	M   	7      	       	            	       	         	MM7       	1                 	1                	-4, 0, -3, 1	           	-4  	-4
5 	5 	1/4     	1/4     	4/4    	5    	1    	iv6        	         	d        	i       	     	iv6    	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1   	           	-1  	-4
6 	6 	0       	0       	4/4    	5    	1    	v[v        	         	d        	i       	v    	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2    	           	1   	1
6 	6 	1/4     	1/4     	4/4    	5    	1    	i6         	         	d        	i       	v    	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
6 	6 	1/2     	1/2     	4/4    	5    	1    	V7         	         	d        	i       	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
6 	6 	3/4     	3/4     	4/4    	5    	1    	i6         	         	d        	i       	v    	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
7 	7 	0       	0       	4/4    	5    	1    	I          	         	d        	i       	v    	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
7 	7 	1/4     	1/4     	4/4    	5    	1    	V7         	         	d        	i       	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
7 	7 	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
7 	7 	3/4     	3/4     	4/4    	5    	1    	V(64)      	         	d        	i       	v    	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
8 	8 	1/2     	1/2     	4/4    	5    	1    	V]         	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
9 	9 	0       	0       	4/4    	5    	1    	i[i\\      	         	d        	i       	i    	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
9 	9 	1/4     	1/4     	4/4    	5    	1    	iv.i6      	         	d        	iv      	v    	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
9 	9 	1/2     	1/2     	4/4    	5    	1    	V7         	         	d        	iv      	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
9 	9 	3/4     	3/4     	4/4    	5    	1    	i6         	         	d        	iv      	v    	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
10	10	0       	0       	4/4    	5    	1    	I          	         	d        	iv      	v    	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
10	10	1/4     	1/4     	4/4    	5    	1    	V7         	         	d        	iv      	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
10	10	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	iv      	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
10	10	3/4     	3/4     	4/4    	5    	1    	V(64)]     	         	d        	iv      	v    	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
11	11	0       	0       	4/4    	5    	1    	i          	         	d        	iv      	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
11	11	1/2     	1/2     	4/4    	5    	1    	#viio      	V6       	d        	iv      	     	#viio  	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1    	           	5   	5
12	12	0       	0       	4/4    	5    	1    	i\\        	         	d        	iv      	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
13	13	1/4     	1/4     	4/4    	5    	1    	VI.vi      	         	d        	VI      	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4     	           	3   	3
14	14	0       	0       	4/4    	5    	1    	IV         	         	d        	VI      	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0    	           	-1  	-1
14	14	1/4     	1/4     	4/4    	5    	1    	ii         	         	d        	VI      	     	ii     	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3    	           	2   	2
14	14	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	VI      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
14	14	7/8     	7/8     	4/4    	5    	1    	ii         	         	d        	VI      	     	ii     	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3    	           	2   	2
15	15	0       	0       	4/4    	5    	1    	I6         	         	d        	VI      	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0     	           	0   	4
15	15	1/4     	1/4     	4/4    	5    	1    	ii65       	         	d        	VI      	     	ii65   	ii     	    	65     	       	            	       	         	mm7       	1                 	0                	-1, 3, 0, 2 	           	2   	-1
15	15	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
16	16	0       	0       	4/4    	5    	1    	I\\        	         	d        	VI      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
16	16	1/4     	1/4     	4/4    	5    	1    	I          	         	d        	VI      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
16	16	3/4     	3/4     	4/4    	5    	1    	vi6        	         	d        	VI      	     	vi6    	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3     	           	3   	0
17	17	0       	0       	4/4    	5    	1    	I          	         	d        	VI      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
17	17	1/4     	1/4     	4/4    	5    	1    	V6         	         	d        	VI      	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1     	           	1   	5
17	17	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
18	18	0       	0       	4/4    	5    	1    	VII.vi     	         	d        	VII     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4     	           	3   	3
18	18	1/2     	1/2     	4/4    	5    	1    	V(b6)      	         	d        	VII     	     	V(b6)  	V      	    	       	b6     	            	       	         	M         	1                 	0                	1, 5, -3    	           	1   	1
