mc	mn	mc_onset	mn_onset	timesig	staff	voice	label  	alt_label	globalkey	localkey	pedal	chord 	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	g.i    	         	g        	i       	     	i     	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
4 	4 	3/4     	3/4     	4/4    	5    	1    	I      	         	g        	i       	     	I     	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
5 	5 	0       	0       	4/4    	5    	1    	VII    	         	g        	i       	     	VII   	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
5 	5 	1/4     	1/4     	4/4    	5    	1    	III6   	         	g        	i       	     	III6  	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
5 	5 	1/2     	1/2     	4/4    	5    	1    	IV     	         	g        	i       	     	IV    	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0   	           	-1  	-1
6 	6 	0       	0       	4/4    	5    	1    	III\\  	         	g        	i       	     	III   	III    	    	       	       	            	       	\\       	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
7 	7 	0       	0       	4/4    	5    	1    	v.i    	         	g        	v       	     	i     	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
10	10	0       	0       	4/4    	5    	1    	VII    	         	g        	v       	     	VII   	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
10	10	1/4     	1/4     	4/4    	5    	1    	III6   	         	g        	v       	     	III6  	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
10	10	1/2     	1/2     	4/4    	5    	1    	iv     	         	g        	v       	     	iv    	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
11	11	0       	0       	4/4    	5    	1    	III\\  	         	g        	v       	     	III   	III    	    	       	       	            	       	\\       	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
11	11	1/2     	1/2     	4/4    	5    	1    	III    	         	g        	v       	     	III   	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
12	12	0       	0       	4/4    	5    	1    	V      	         	g        	v       	     	V     	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
15	15	0       	0       	4/4    	5    	1    	v      	         	g        	v       	     	v     	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
15	15	1/4     	1/4     	4/4    	5    	1    	iio6   	         	g        	v       	     	iio6  	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2  	           	2   	-1
15	15	1/2     	1/2     	4/4    	5    	1    	V      	         	g        	v       	     	V     	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
16	16	1/2     	1/2     	4/4    	5    	1    	i      	         	g        	v       	     	i     	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
17	17	0       	0       	4/4    	5    	1    	VII.ii 	         	g        	VII     	     	ii    	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
17	17	1/2     	1/2     	4/4    	5    	1    	V      	         	g        	VII     	     	V     	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
18	18	0       	0       	4/4    	5    	1    	I\\    	         	g        	VII     	     	I     	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
18	18	3/4     	3/4     	4/4    	5    	1    	III.I  	         	g        	III     	     	I     	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
