mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	g.i      	         	g        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
3 	3 	1/2     	1/2     	4/4    	5    	1    	iv       	         	g        	i       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
4 	4 	0       	0       	4/4    	5    	1    	III6     	         	g        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
4 	4 	1/4     	1/4     	4/4    	5    	1    	VII      	         	g        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1   	           	-2  	-2
4 	4 	3/4     	3/4     	4/4    	5    	1    	i        	         	g        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
5 	5 	0       	0       	4/4    	5    	1    	V\\      	         	g        	i       	     	V       	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2     	           	1   	1
5 	5 	3/4     	3/4     	4/4    	5    	1    	v.i      	         	g        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
7 	7 	1/2     	1/2     	4/4    	5    	1    	iv       	         	g        	v       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
8 	8 	0       	0       	4/4    	5    	1    	III6     	         	g        	v       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
8 	8 	1/4     	1/4     	4/4    	5    	1    	VII      	         	g        	v       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1   	           	-2  	-2
8 	8 	3/4     	3/4     	4/4    	5    	1    	i        	         	g        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
9 	9 	0       	0       	4/4    	5    	1    	V(64)    	         	g        	v       	     	V(64)   	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
9 	9 	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	v       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
10	10	0       	0       	4/4    	5    	1    	i\\      	         	g        	v       	     	i       	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
10	10	1/4     	1/4     	4/4    	5    	1    	i.III    	i6       	g        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2   	           	-3  	-3
10	10	1/2     	1/2     	4/4    	5    	1    	v        	III6     	g        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2    	           	1   	1
