mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1 	1 	1/4     	1/4     	4/4    	5    	1    	g.I     	         	g        	i       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
1 	1 	1/2     	1/2     	4/4    	5    	1    	iv      	         	g        	i       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
2 	2 	0       	0       	4/4    	5    	1    	III\\   	         	g        	i       	     	III     	III    	    	       	       	            	       	\\       	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
3 	3 	1/4     	1/4     	4/4    	5    	1    	III     	         	g        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
3 	3 	1/2     	1/2     	4/4    	5    	1    	VI      	         	g        	i       	     	VI      	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
4 	4 	0       	0       	4/4    	5    	1    	v       	         	g        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
5 	5 	0       	0       	4/4    	5    	1    	vii%7/IV	         	g        	i       	     	vii%7/IV	vii    	%   	7      	       	IV          	       	         	%7        	1                 	1                	4, 1, -2, 2  	           	4   	4
5 	5 	1/4     	1/4     	4/4    	5    	1    	V6/IV   	         	g        	i       	     	V6/IV   	V      	    	6      	       	IV          	       	         	M         	1                 	1                	4, 1, 0      	           	0   	4
5 	5 	1/2     	1/2     	4/4    	5    	1    	IV\\    	         	g        	i       	     	IV      	IV     	    	       	       	            	       	\\       	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
6 	6 	0       	0       	4/4    	5    	1    	v.III   	         	g        	v       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
6 	6 	1/2     	1/2     	4/4    	5    	1    	i       	         	g        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
7 	7 	0       	0       	4/4    	5    	1    	VII(6+4)	         	g        	v       	     	VII(6+4)	VII    	    	       	6+4    	            	       	         	M         	1                 	1                	-2, 2, 1     	-3         	-2  	-2
7 	7 	1/4     	1/4     	4/4    	5    	1    	VII     	         	g        	v       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
8 	8 	0       	0       	4/4    	5    	1    	i       	         	g        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
9 	9 	0       	0       	4/4    	5    	1    	III     	i6       	g        	v       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
