mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord      	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1 	1 	1/4     	1/4     	4/4    	5    	1    	g.i        	         	g        	i       	     	i          	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
2 	2 	1/2     	1/2     	4/4    	5    	1    	v6         	         	g        	i       	     	v6         	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1     	           	1   	-2
3 	3 	1/2     	1/2     	4/4    	5    	1    	IV.ii43    	         	g        	IV      	     	ii43       	ii     	    	43     	       	            	       	         	mm7       	1                 	0                	3, 0, 2, -1  	           	2   	3
4 	4 	0       	0       	4/4    	5    	1    	V(+4)      	         	g        	IV      	     	V(+4)      	V      	    	       	+4     	            	       	         	M         	1                 	0                	1, 5, 2      	0          	1   	1
4 	4 	1/2     	1/2     	4/4    	5    	1    	V          	         	g        	IV      	     	V          	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
5 	5 	0       	0       	4/4    	5    	1    	I\\        	         	g        	IV      	     	I          	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
5 	5 	3/4     	3/4     	4/4    	5    	1    	i.VII      	         	g        	i       	     	VII        	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
6 	6 	1/2     	1/2     	4/4    	5    	1    	VI         	         	g        	i       	     	VI         	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
7 	7 	0       	0       	4/4    	5    	1    	V          	         	g        	i       	     	V          	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
7 	7 	1/2     	1/2     	4/4    	5    	1    	i          	         	g        	i       	     	i          	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
8 	8 	0       	0       	4/4    	5    	1    	V\\        	         	g        	i       	     	V          	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
8 	8 	3/4     	3/4     	4/4    	5    	1    	v.I        	         	g        	v       	     	I          	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
9 	9 	0       	0       	4/4    	5    	1    	iv         	         	g        	v       	     	iv         	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
9 	9 	1/4     	1/4     	4/4    	5    	1    	i6         	         	g        	v       	     	i6         	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
9 	9 	1/2     	1/2     	4/4    	5    	1    	i          	         	g        	v       	     	i          	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
10	10	0       	0       	4/4    	5    	1    	IV6        	         	g        	v       	     	IV6        	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1     	           	-1  	3
10	10	1/2     	1/2     	4/4    	5    	1    	IV6(9)     	         	g        	v       	     	IV6(9)     	IV     	    	6      	9      	            	       	         	M         	1                 	1                	3, 0, -1     	1          	-1  	3
11	11	0       	0       	4/4    	5    	1    	viio6(2)/V 	         	g        	v       	     	viio6(2)/V 	vii    	o   	6      	2      	V           	       	         	o         	1                 	1                	3, 0, 1      	           	6   	3
11	11	1/4     	1/4     	4/4    	5    	1    	viio6/V    	         	g        	v       	     	viio6/V    	vii    	o   	6      	       	V           	       	         	o         	1                 	1                	3, 0, 6      	           	6   	3
11	11	1/2     	1/2     	4/4    	5    	1    	V(4)       	         	g        	v       	     	V(4)       	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
11	11	3/4     	3/4     	4/4    	5    	1    	V          	         	g        	v       	     	V          	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
12	12	0       	0       	4/4    	5    	1    	i          	         	g        	v       	     	i          	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
12	12	1/2     	1/2     	4/4    	5    	1    	ii6(+42)   	         	g        	v       	     	ii6(+42)   	ii     	    	6      	+42    	            	       	         	m         	1                 	1                	-1, 3, -3    	1          	2   	-1
12	12	3/4     	3/4     	4/4    	5    	1    	ii6        	         	g        	v       	     	ii6        	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2     	           	2   	-1
13	13	0       	0       	4/4    	5    	1    	v7         	         	g        	v       	     	v7         	v      	    	7      	       	            	       	         	mm7       	1                 	1                	1, -2, 2, -1 	           	1   	1
13	13	1/4     	1/4     	4/4    	5    	1    	V(64)      	         	g        	v       	     	V(64)      	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3     	           	1   	1
