mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones    	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	d.i     	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
2 	2 	1/2     	1/2     	4/4    	5    	1    	#viio(2)	         	d        	i       	     	#viio(2)	#vii   	o   	       	2      	            	       	         	o         	1                 	1                	0, 2, -1       	           	5   	0
3 	3 	0       	0       	4/4    	5    	1    	#viio   	         	d        	i       	     	#viio   	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1       	           	5   	5
3 	3 	1/4     	1/4     	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
3 	3 	1/2     	1/2     	4/4    	5    	1    	#viio6  	         	d        	i       	     	#viio6  	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5       	           	5   	2
3 	3 	3/4     	3/4     	4/4    	5    	1    	#viio64 	         	d        	i       	     	#viio64 	#vii   	o   	64     	       	            	       	         	o         	1                 	1                	-1, 5, 2       	           	5   	-1
4 	4 	0       	0       	4/4    	5    	1    	I       	         	d        	i       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
5 	5 	0       	0       	4/4    	5    	1    	ii7     	         	d        	i       	     	ii7     	ii     	    	7      	       	            	       	         	mm7       	1                 	1                	2, -1, 3, 0    	           	2   	2
5 	5 	1/2     	1/2     	4/4    	5    	1    	ii      	         	d        	i       	     	ii      	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3       	           	2   	2
6 	6 	1/2     	1/2     	4/4    	5    	1    	I       	         	d        	i       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
8 	8 	0       	0       	4/4    	5    	1    	vi7     	         	d        	i       	     	vi7     	vi     	    	7      	       	            	       	         	mm7       	1                 	1                	-4, -7, -3, -6 	           	-4  	-4
8 	8 	1/4     	1/4     	4/4    	5    	1    	vi%7    	         	d        	i       	     	vi%7    	vi     	%   	7      	       	            	       	         	%7        	1                 	1                	-4, -7, -10, -6	           	-4  	-4
8 	8 	1/2     	1/2     	4/4    	5    	1    	V(2)    	         	d        	i       	     	V(2)    	V      	    	       	2      	            	       	         	M         	1                 	1                	-4, 5, 2       	           	1   	-4
8 	8 	3/4     	3/4     	4/4    	5    	1    	ii64    	         	d        	i       	     	ii64    	ii     	    	64     	       	            	       	         	m         	1                 	1                	3, 2, -1       	           	2   	3
8 	8 	7/8     	7/8     	4/4    	5    	1    	IV6     	         	d        	i       	     	IV6     	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1       	           	-1  	3
9 	9 	0       	0       	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
10	10	1/2     	1/2     	4/4    	5    	1    	I6      	         	d        	i       	     	I6      	I      	    	6      	       	            	       	         	M         	1                 	1                	4, 1, 0        	           	0   	4
12	12	0       	0       	4/4    	5    	1    	V(4)    	         	d        	i       	     	V(4)    	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2        	           	1   	1
12	12	1/4     	1/4     	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
13	13	0       	0       	4/4    	5    	1    	I\\     	         	d        	i       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
14	14	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
17	17	1/2     	1/2     	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
18	18	0       	0       	4/4    	5    	1    	III     	         	d        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
18	18	1/2     	1/2     	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
19	19	0       	0       	4/4    	5    	1    	v.i     	         	d        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
19	19	1/2     	1/2     	4/4    	5    	1    	VII     	         	d        	v       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
20	20	0       	0       	4/4    	5    	1    	III     	         	d        	v       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
20	20	1/2     	1/2     	4/4    	5    	1    	iv(9)   	         	d        	v       	     	iv(9)   	iv     	    	       	9      	            	       	         	m         	1                 	1                	-1, -4, 0      	1          	-1  	-1
20	20	3/4     	3/4     	4/4    	5    	1    	iv      	         	d        	v       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
21	21	0       	0       	4/4    	5    	1    	V       	         	d        	v       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
21	21	1/2     	1/2     	4/4    	5    	1    	V7      	         	d        	v       	     	V7      	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1    	           	1   	1
21	21	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	v       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
22	22	0       	0       	4/4    	5    	1    	i\\     	         	d        	v       	     	i       	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1       	           	0   	0
22	22	1/2     	1/2     	4/4    	5    	1    	VII.vi  	         	d        	VII     	     	vi      	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4        	           	3   	3
23	23	0       	0       	4/4    	5    	1    	V       	         	d        	VII     	     	V       	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2        	           	1   	1
23	23	1/4     	1/4     	4/4    	5    	1    	V(4)    	         	d        	VII     	     	V(4)    	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2        	           	1   	1
23	23	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	VII     	     	V       	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2        	           	1   	1
24	24	0       	0       	4/4    	5    	1    	I\\     	         	d        	VII     	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1        	           	0   	0
24	24	1/8     	1/8     	4/4    	5    	1    	I       	         	d        	VII     	     	I       	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1        	           	0   	0
24	24	1/2     	1/2     	4/4    	5    	1    	IV      	         	d        	VII     	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0       	           	-1  	-1
24	24	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	VII     	     	V       	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2        	           	1   	1
25	25	0       	0       	4/4    	5    	1    	I\\     	         	d        	VII     	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1        	           	0   	0
25	25	5/8     	5/8     	4/4    	5    	1    	v.i     	         	d        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
26	26	0       	0       	4/4    	5    	1    	V6      	         	d        	v       	     	V6      	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1        	           	1   	5
26	26	1/4     	1/4     	4/4    	5    	1    	I       	         	d        	v       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
26	26	1/2     	1/2     	4/4    	5    	1    	iv      	         	d        	v       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
27	27	0       	0       	4/4    	5    	1    	I\\     	         	d        	v       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
27	27	1/8     	1/8     	4/4    	5    	1    	I       	         	d        	v       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
27	27	1/2     	1/2     	4/4    	5    	1    	iv      	         	d        	v       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
27	27	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	v       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
28	28	0       	0       	4/4    	5    	1    	i\\     	         	d        	v       	     	i       	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1       	           	0   	0
28	28	5/8     	5/8     	4/4    	5    	1    	III.I   	         	d        	III     	     	I       	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1        	           	0   	0
29	29	0       	0       	4/4    	5    	1    	V6      	         	d        	III     	     	V6      	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1        	           	1   	5
29	29	1/4     	1/4     	4/4    	5    	1    	I       	         	d        	III     	     	I       	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1        	           	0   	0
29	29	1/2     	1/2     	4/4    	5    	1    	IV      	         	d        	III     	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0       	           	-1  	-1
30	30	0       	0       	4/4    	5    	1    	I\\     	         	d        	III     	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1        	           	0   	0
30	30	1/8     	1/8     	4/4    	5    	1    	I       	         	d        	III     	     	I       	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1        	           	0   	0
30	30	1/2     	1/2     	4/4    	5    	1    	IV      	         	d        	III     	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0       	           	-1  	-1
30	30	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	III     	     	V       	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2        	           	1   	1
