mc	mn	mc_onset	mn_onset	timesig	staff	voice	label     	alt_label	globalkey	localkey	pedal	chord     	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	d.i       	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
2 	2 	0       	0       	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
2 	2 	1/2     	1/2     	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
3 	3 	0       	0       	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
4 	4 	0       	0       	4/4    	5    	1    	i\\       	         	d        	i       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
5 	5 	0       	0       	4/4    	5    	1    	I         	         	d        	i       	     	I         	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
5 	5 	1/2     	1/2     	4/4    	5    	1    	iv        	         	d        	i       	     	iv        	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
6 	6 	0       	0       	4/4    	5    	1    	v.V       	         	d        	v       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
6 	6 	1/2     	1/2     	4/4    	5    	1    	i         	         	d        	v       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
7 	7 	0       	0       	4/4    	5    	1    	I         	         	d        	v       	     	I         	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
7 	7 	1/2     	1/2     	4/4    	5    	1    	iv        	         	d        	v       	     	iv        	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
8 	8 	0       	0       	4/4    	5    	1    	V         	         	d        	v       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
8 	8 	1/4     	1/4     	4/4    	5    	1    	i         	         	d        	v       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
8 	8 	1/2     	1/2     	4/4    	5    	1    	V         	         	d        	v       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
9 	9 	0       	0       	4/4    	5    	1    	i\\       	         	d        	v       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
9 	9 	1/2     	1/2     	4/4    	5    	1    	i.III     	i6       	d        	i       	     	III       	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
9 	9 	3/4     	3/4     	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
10	10	0       	0       	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
11	11	0       	0       	4/4    	5    	1    	i\\       	         	d        	i       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
11	11	1/4     	1/4     	4/4    	5    	1    	VII.V/V   	         	d        	VII     	     	V/V       	V      	    	       	       	V           	       	         	M         	1                 	0                	2, 6, 3    	           	2   	2
12	12	0       	0       	4/4    	5    	1    	V         	         	d        	VII     	     	V         	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
13	13	1/2     	1/2     	4/4    	5    	1    	I\\       	         	d        	VII     	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
14	14	1/4     	1/4     	4/4    	5    	1    	i.V/v     	         	d        	i       	     	V/v       	V      	    	       	       	v           	       	         	M         	1                 	1                	2, 6, 3    	           	2   	2
15	15	0       	0       	4/4    	5    	1    	v         	         	d        	i       	     	v         	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
16	16	1/4     	1/4     	4/4    	5    	1    	iii6      	         	d        	i       	     	iii6      	iii    	    	6      	       	            	       	         	m         	1                 	1                	-6, -2, -3 	           	-3  	-6
16	16	1/2     	1/2     	4/4    	5    	1    	i\\       	         	d        	i       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
17	17	1/4     	1/4     	4/4    	5    	1    	I         	         	d        	i       	     	I         	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
18	18	0       	0       	4/4    	5    	1    	IV        	         	d        	i       	     	IV        	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0   	           	-1  	-1
18	18	3/4     	3/4     	4/4    	5    	1    	viio64/VII	         	d        	i       	     	viio64/VII	vii    	o   	64     	       	VII         	       	         	o         	1                 	1                	-3, 3, 0   	           	3   	-3
19	19	0       	0       	4/4    	5    	1    	VII       	         	d        	i       	     	VII       	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
19	19	1/4     	1/4     	4/4    	5    	1    	viio6/VII 	         	d        	i       	     	viio6/VII 	vii    	o   	6      	       	VII         	       	         	o         	1                 	1                	0, -3, 3   	           	3   	0
19	19	1/2     	1/2     	4/4    	5    	1    	VII       	         	d        	i       	     	VII       	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
20	20	1/2     	1/2     	4/4    	5    	1    	III       	         	d        	i       	     	III       	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
21	21	0       	0       	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
21	21	1/2     	1/2     	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
22	22	0       	0       	4/4    	5    	1    	i\\       	         	d        	i       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
22	22	1/8     	1/8     	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
23	23	1/2     	1/2     	4/4    	5    	1    	IV.I6     	         	d        	IV      	     	I6        	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
23	23	3/4     	3/4     	4/4    	5    	1    	I         	         	d        	IV      	     	I         	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
