mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	d.V      	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
1 	1 	1/4     	1/4     	4/4    	5    	1    	#viio6/iv	         	d        	i       	     	#viio6/iv	#vii   	o   	6      	       	iv          	       	         	o         	1                 	1                	1, -2, 4     	           	4   	1
1 	1 	1/2     	1/2     	4/4    	5    	1    	iv(+2)   	         	d        	i       	     	iv(+2)   	iv     	    	       	+2     	            	       	         	m         	1                 	1                	-1, -4, 0    	1          	-1  	-1
1 	1 	3/4     	3/4     	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
2 	2 	1/4     	1/4     	4/4    	5    	1    	iv7      	         	d        	i       	     	iv7      	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
2 	2 	7/8     	7/8     	4/4    	5    	1    	iio65    	         	d        	i       	     	iio65    	ii     	o   	65     	       	            	       	         	o7        	1                 	1                	-1, -4, -7, 2	           	2   	-1
3 	3 	0       	0       	4/4    	5    	1    	V\\      	         	d        	i       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
3 	3 	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
4 	4 	3/4     	3/4     	4/4    	5    	1    	IV(+2)   	         	d        	i       	     	IV(+2)   	IV     	    	       	+2     	            	       	         	M         	1                 	1                	-1, 3, 0     	1          	-1  	-1
5 	5 	0       	0       	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
5 	5 	1/4     	1/4     	4/4    	5    	1    	V43      	         	d        	i       	     	V43      	V      	    	43     	       	            	       	         	Mm7       	1                 	1                	2, -1, 1, 5  	           	1   	2
5 	5 	1/2     	1/2     	4/4    	5    	1    	i        	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
5 	5 	3/4     	3/4     	4/4    	5    	1    	V7/iv    	         	d        	i       	     	V7/iv    	V      	    	7      	       	iv          	       	         	Mm7       	1                 	1                	0, 4, 1, -2  	           	0   	0
6 	6 	0       	0       	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
6 	6 	3/4     	3/4     	4/4    	5    	1    	iv7      	         	d        	i       	     	iv7      	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
7 	7 	0       	0       	4/4    	5    	1    	V7       	         	d        	i       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1  	           	1   	1
7 	7 	1/4     	1/4     	4/4    	5    	1    	V(+64)   	         	d        	i       	     	V(+64)   	V      	    	       	+64    	            	       	         	M         	1                 	1                	1, 0, 2      	-3         	1   	1
7 	7 	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	d        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
7 	7 	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
8 	8 	0       	0       	4/4    	5    	1    	I\\      	         	d        	i       	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
8 	8 	5/8     	5/8     	4/4    	5    	1    	iv.V     	         	d        	iv      	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
