mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label       	alt_label	globalkey	localkey	pedal	chord       	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1  	0  	0       	3/4     	4/4    	5    	1    	C.I         	         	C        	I       	     	I           	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1      	           	0   	0
2  	1  	1/4     	1/4     	4/4    	5    	1    	vi(2)       	         	C        	I       	     	vi(2)       	vi     	    	       	2      	            	       	         	m         	0                 	0                	5, 0, 4      	           	3   	5
2  	1  	1/2     	1/2     	4/4    	5    	1    	vi          	         	C        	I       	     	vi          	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4      	           	3   	3
2  	1  	7/8     	7/8     	4/4    	5    	1    	V(+4)       	         	C        	I       	     	V(+4)       	V      	    	       	+4     	            	       	         	M         	0                 	0                	1, 5, 2      	0          	1   	1
3  	2  	0       	0       	4/4    	5    	1    	IV          	         	C        	I       	     	IV          	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0     	           	-1  	-1
3  	2  	1/4     	1/4     	4/4    	5    	1    	I6          	         	C        	I       	     	I6          	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0      	           	0   	4
3  	2  	1/2     	1/2     	4/4    	5    	1    	V(4)        	         	C        	I       	     	V(4)        	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2      	           	1   	1
3  	2  	7/8     	7/8     	4/4    	5    	1    	V           	         	C        	I       	     	V           	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2      	           	1   	1
4  	3  	0       	0       	4/4    	5    	1    	I\\         	         	C        	I       	     	I           	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1      	           	0   	0
4  	3  	3/4     	3/4     	4/4    	5    	1    	I           	         	C        	I       	     	I           	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1      	           	0   	0
5  	4  	1/4     	1/4     	4/4    	5    	1    	V6          	         	C        	I       	     	V6          	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1      	           	1   	5
5  	4  	1/2     	1/2     	4/4    	5    	1    	vi          	         	C        	I       	     	vi          	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4      	           	3   	3
5  	4  	3/4     	3/4     	4/4    	5    	1    	IV6         	         	C        	I       	     	IV6         	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1     	           	-1  	3
5  	4  	7/8     	7/8     	4/4    	5    	1    	I64         	         	C        	I       	     	I64         	I      	    	64     	       	            	       	         	M         	0                 	0                	1, 0, 4      	           	0   	1
