mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1  	1  	0       	0       	4/4    	5    	1    	g.i      	         	g        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
1  	1  	1/2     	1/2     	4/4    	5    	1    	v        	         	g        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
2  	2  	1/2     	1/2     	4/4    	5    	1    	#vio6    	         	g        	i       	     	#vio6    	#vi    	o   	6      	       	            	       	         	o         	1                 	1                	0, -3, 3     	           	3   	0
2  	2  	3/4     	3/4     	4/4    	5    	1    	ii       	         	g        	i       	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3     	           	2   	2
3  	3  	0       	0       	4/4    	5    	1    	i6       	         	g        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
3  	3  	1/2     	1/2     	4/4    	5    	1    	#viio6(2)	         	g        	i       	     	#viio6(2)	#vii   	o   	6      	2      	            	       	         	o         	1                 	1                	2, -1, 0     	           	5   	2
3  	3  	3/4     	3/4     	4/4    	5    	1    	#viio6   	         	g        	i       	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5     	           	5   	2
4  	4  	0       	0       	4/4    	5    	1    	i        	         	g        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
4  	4  	1/2     	1/2     	4/4    	5    	1    	v.i      	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
4  	4  	3/4     	3/4     	4/4    	5    	1    	#viio6   	         	g        	v       	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5     	           	5   	2
5  	5  	0       	0       	4/4    	5    	1    	i(9)     	         	g        	v       	     	i(9)     	i      	    	       	9      	            	       	         	m         	1                 	1                	0, -3, 1     	2          	0   	0
5  	5  	1/4     	1/4     	4/4    	5    	1    	i        	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
5  	5  	1/2     	1/2     	4/4    	5    	1    	iio65    	         	g        	v       	     	iio65    	ii     	o   	65     	       	            	       	         	o7        	1                 	1                	-1, -4, -7, 2	           	2   	-1
5  	5  	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
5  	5  	7/8     	7/8     	4/4    	5    	1    	V7       	         	g        	v       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1  	           	1   	1
6  	6  	0       	0       	4/4    	5    	1    	VI       	         	g        	v       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
6  	6  	1/4     	1/4     	4/4    	5    	1    	i.i6     	         	g        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
6  	6  	1/2     	1/2     	4/4    	5    	1    	#viio6(2)	         	g        	i       	     	#viio6(2)	#vii   	o   	6      	2      	            	       	         	o         	1                 	1                	2, -1, 0     	           	5   	2
6  	6  	3/4     	3/4     	4/4    	5    	1    	#viio6   	         	g        	i       	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5     	           	5   	2
