mc 	mn 	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats     	next
1  	0  	0     	4/4    	1/4    	3/4      	     	                	1         	       	      	firstMeasure	2
2  	1  	0     	4/4    	1      	0        	     	                	          	       	      	            	3
3  	2  	0     	4/4    	1      	0        	     	                	          	       	      	            	4
4  	3  	0     	4/4    	1      	0        	     	                	          	       	      	            	5
5  	4  	0     	4/4    	1      	0        	     	                	          	       	      	            	6
6  	5  	0     	4/4    	1      	0        	     	                	          	       	      	            	7
7  	6  	0     	4/4    	1      	0        	     	                	          	       	      	            	8
8  	7  	0     	4/4    	1      	0        	     	                	          	       	      	            	9
9  	8  	0     	4/4    	1      	0        	     	                	          	       	      	            	10
10 	9  	0     	4/4    	1      	0        	     	                	          	       	      	            	11
11 	10 	0     	4/4    	1      	0        	     	                	          	       	      	            	12
12 	11 	0     	4/4    	1      	0        	     	                	          	       	      	            	13
13 	12 	0     	4/4    	1      	0        	     	                	          	       	      	            	14
14 	13 	0     	4/4    	1      	0        	     	                	          	       	      	            	15
15 	14 	0     	4/4    	1      	0        	     	                	          	       	      	            	16
16 	15 	0     	4/4    	1      	0        	     	                	          	       	      	            	17
17 	16 	0     	4/4    	1      	0        	     	                	          	       	      	            	18
18 	17 	0     	4/4    	1      	0        	     	                	          	       	      	            	19
19 	18 	0     	4/4    	1      	0        	     	                	          	       	      	            	20
20 	19 	0     	4/4    	1      	0        	     	                	          	       	      	            	21
21 	20 	0     	4/4    	1      	0        	     	                	          	       	      	            	22
22 	21 	0     	4/4    	1      	0        	     	                	          	       	      	            	23
23 	22 	0     	4/4    	1      	0        	     	                	          	       	      	            	24
24 	23 	0     	4/4    	1      	0        	     	                	          	       	      	            	25
25 	24 	0     	4/4    	1      	0        	     	                	          	       	      	            	26
26 	25 	0     	4/4    	1      	0        	     	                	          	       	      	            	27
27 	26 	0     	4/4    	1      	0        	     	                	          	double 	line  	            	28
28 	27 	0     	3/1    	6      	0        	     	                	          	       	      	            	29
29 	28 	0     	3/1    	6      	0        	     	                	          	       	      	            	30
30 	29 	0     	3/1    	6      	0        	     	                	          	       	      	            	31
31 	30 	0     	3/1    	6      	0        	     	                	          	       	      	            	32
32 	31 	0     	3/1    	6      	0        	     	                	          	       	      	            	33
33 	32 	0     	3/1    	6      	0        	     	                	          	       	      	            	34
34 	33 	0     	3/1    	6      	0        	     	                	          	       	      	            	35
35 	34 	0     	3/1    	6      	0        	     	                	          	       	      	            	36
36 	35 	0     	3/1    	6      	0        	     	                	          	       	      	            	37
37 	36 	0     	3/1    	6      	0        	     	                	          	       	      	            	38
38 	37 	0     	3/1    	6      	0        	     	                	          	       	      	            	39
39 	38 	0     	3/1    	6      	0        	     	                	          	       	      	            	40
40 	39 	0     	3/1    	6      	0        	     	                	          	       	      	            	41
41 	40 	0     	3/1    	6      	0        	     	                	          	       	      	            	42
42 	41 	0     	3/1    	6      	0        	     	                	          	       	      	            	43
43 	42 	0     	3/1    	6      	0        	     	                	          	       	      	            	44
44 	43 	0     	3/1    	6      	0        	     	                	          	       	      	            	45
45 	44 	0     	3/1    	6      	0        	     	                	          	       	      	            	46
46 	45 	0     	3/1    	6      	0        	     	                	          	       	      	            	47
47 	46 	0     	3/1    	6      	0        	     	                	          	       	      	            	48
48 	47 	0     	3/1    	6      	0        	     	                	          	       	      	            	49
49 	48 	0     	3/1    	6      	0        	     	                	          	       	      	            	50
50 	49 	0     	3/1    	6      	0        	     	                	          	       	      	            	51
51 	50 	0     	3/1    	6      	0        	     	                	          	       	      	            	52
52 	51 	0     	3/1    	6      	0        	     	                	          	       	      	            	53
53 	52 	0     	3/1    	6      	0        	     	                	          	       	      	            	54
54 	53 	0     	3/1    	6      	0        	     	                	          	       	      	            	55
55 	54 	0     	3/1    	6      	0        	     	                	          	       	      	            	56
56 	55 	0     	3/1    	6      	0        	     	                	          	       	      	            	57
57 	56 	0     	3/1    	6      	0        	     	                	          	       	      	            	58
58 	57 	0     	3/1    	6      	0        	     	                	          	       	      	            	59
