rel_paths	fnames               	last_mc	last_mn	KeySig      	TimeSig                                                                                              	label_count	harmony_version	annotated_key	annotators     	composer           	workTitle                           	movementNumber	movementTitle    	workNumber	poet	lyricist	arranger	copyright                                	creationDate	mscVersion	platform       	source	translator	musescore	ambitus        	composed_end	composed_start	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument
MS3      	2-12                 	93     	93     	1: -1       	1: 4/4                                                                                               	225        	2.1.0          	F            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	41-77 (F2-F5)  	1590        	1590          	mxl           	60-77 (C4-F5)  	Midi_74           	60-74 (C4-D5)  	Midi_74           	53-69 (F3-A4)  	Midi_74           	48-65 (C3-F4)  	Midi_74           	41-58 (F2-Bb3) 	Midi_74
MS3      	3-09                 	84     	84     	1: -1       	1: 4/4                                                                                               	190        	2.1.0          	F            	Adrian Nagel   	"Claudio MONTEVERDI
(1567 - 1643)"	"Il Terzo Libro de' Madrigali, 1592.
O primavera giovantù de l'anno"	              	                 	          	    	        	        	"Created by Steven Langley Guy
on Saturday, the 20th of March, 2004.
Completed at 3.29 p.m."    	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	41-77 (F2-F5)  	1592        	1592          	xml           	60-77 (C4-F5)  	Soprano (2)       	57-74 (A3-D5)  	Mezzo-soprano (2) 	53-72 (F3-C5)  	Countertenor (2)  	48-67 (C3-G4)  	Tenor Trombone    	41-58 (F2-Bb3) 	Bass (2) (2)
MS3      	3-11                 	84     	84     	1: -1       	1: 4/4                                                                                               	190        	2.1.0          	F            	               	"Claudio MONTEVERDI
(1567 - 1643)"	"Il Terzo Libro de' Madrigali, 1592.
O primavera giovantù de l'anno"	              	                 	          	    	        	        	"Created by Steven Langley Guy
on Saturday, the 20th of March, 2004.
Completed at 3.29 p.m."    	2019-03-11  	3.02      	Apple Macintosh	      	          	3.6.2    	41-77 (F2-F5)  	1592        	1592          	xml           	60-77 (C4-F5)  	Soprano (2)       	57-74 (A3-D5)  	Mezzo-soprano (2) 	53-72 (F3-C5)  	Countertenor (2)  	48-67 (C3-G4)  	Tenor Trombone    	41-58 (F2-Bb3) 	Bass (2) (2)
MS3      	4-19                 	111    	111    	1: 0        	1: 4/4                                                                                               	185        	2.1.0          	d            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-15  	3.02      	Apple Macintosh	      	          	3.6.2    	43-76 (G2-E5)  	1603        	1603          	xml           	57-76 (A3-E5)  	Grand Piano       	57-76 (A3-E5)  	Hammond Organ     	53-69 (F3-A4)  	Jazz Guitar       	48-66 (C3-F#4) 	Oboe              	43-57 (G2-A3)  	Trombone
MS3      	4-20                 	111    	111    	1: 0        	1: 4/4                                                                                               	185        	2.1.0          	d            	               	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-15  	3.02      	Apple Macintosh	      	          	3.6.2    	43-76 (G2-E5)  	1603        	1603          	xml           	57-76 (A3-E5)  	Grand Piano       	57-76 (A3-E5)  	Hammond Organ     	53-69 (F3-A4)  	Jazz Guitar       	48-66 (C3-F#4) 	Oboe              	43-57 (G2-A3)  	Trombone
MS3      	5-01                 	67     	67     	1: 0        	1: 4/4                                                                                               	176        	2.1.0          	G            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	45-81 (A2-A5)  	1605        	1605          	xml           	64-81 (E4-A5)  	vox               	59-77 (B3-F5)  	vox               	52-69 (E3-A4)  	vox               	55-69 (G3-A4)  	vox               	45-62 (A2-D4)  	vox
MS3      	5-03                 	74     	74     	1: -1       	1: 4/4                                                                                               	152        	2.1.0          	d            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	43-77 (G2-F5)  	1605        	1605          	xml           	62-77 (D4-F5)  	vox               	61-74 (C#4-D5) 	vox               	50-70 (D3-Bb4) 	vox               	49-65 (C#3-F4) 	vox               	43-58 (G2-Bb3) 	vox
MS3      	5-04a                	82     	82     	1: -1       	1: 4/4                                                                                               	128        	2.1.0          	g            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	46-82 (Bb2-Bb5)	1605        	1605          	xml           	65-82 (F4-Bb5) 	vox               	64-81 (E4-A5)  	vox               	55-74 (G3-D5)  	vox               	53-69 (F3-A4)  	vox               	46-63 (Bb2-Eb4)	vox
MS3      	5-04c                	53     	53     	1: -1       	1: 4/4                                                                                               	105        	2.1.0          	g            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	46-81 (Bb2-A5) 	1605        	1605          	xml           	66-81 (F#4-A5) 	vox               	65-79 (F4-G5)  	vox               	55-74 (G3-D5)  	vox               	55-69 (G3-A4)  	vox               	46-63 (Bb2-Eb4)	vox
MS3      	5-04d                	59     	59     	1: -1       	1: 4/4                                                                                               	125        	2.1.0          	g            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	45-82 (A2-Bb5) 	1605        	1605          	xml           	65-82 (F4-Bb5) 	vox               	62-81 (D4-A5)  	vox               	55-74 (G3-D5)  	vox               	53-69 (F3-A4)  	vox               	45-65 (A2-F4)  	vox
MS3      	5-04e                	95     	95     	1: -1       	1: 4/4                                                                                               	219        	2.1.0          	g            	Adrian Nagel   	                   	                                    	              	                 	          	    	        	        	                                         	2019-03-04  	3.02      	Apple Macintosh	      	          	3.6.2    	43-81 (G2-A5)  	1605        	1605          	xml           	65-81 (F4-A5)  	vox               	62-81 (D4-A5)  	vox               	60-74 (C4-D5)  	vox               	50-69 (D3-A4)  	vox               	43-62 (G2-D4)  	vox
