mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1  	1  	0       	0       	4/4    	4    	1    	1       	1               	1     	    	-2 	58  	0
2  	2  	0       	0       	4/4    	4    	1    	1       	1               	1     	    	5  	59  	1
3  	3  	0       	0       	4/4    	4    	1    	1       	1               	1     	    	0  	60  	2
4  	4  	0       	0       	4/4    	4    	1    	1       	1               	1     	    	7  	61  	3
5  	5  	0       	0       	4/4    	3    	1    	1       	1               	1     	    	-1 	65  	4
5  	5  	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	5
5  	5  	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	-2 	58  	6
6  	6  	0       	0       	4/4    	4    	1    	1       	1               	1     	    	3  	57  	8
6  	6  	0       	0       	4/4    	3    	1    	1       	1               	1     	    	6  	66  	7
7  	7  	0       	0       	4/4    	3    	1    	1       	1               	1     	    	1  	67  	10
7  	7  	0       	0       	4/4    	1    	1    	1       	1               	1     	    	-2 	70  	9
7  	7  	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	1  	55  	11
7  	7  	1/2     	1/2     	4/4    	4    	1    	3/8     	1/4             	3/2   	    	1  	55  	12
7  	7  	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	53  	13
8  	8  	0       	0       	4/4    	4    	1    	3/8     	1/4             	3/2   	    	4  	52  	16
8  	8  	0       	0       	4/4    	3    	1    	1       	1               	1     	    	8  	68  	15
8  	8  	0       	0       	4/4    	1    	1    	1       	1               	1     	    	5  	71  	14
8  	8  	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	17
8  	8  	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	52  	18
8  	8  	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	52  	19
9  	9  	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	57  	23
9  	9  	0       	0       	4/4    	1    	1    	1       	1               	1     	    	0  	72  	20
