mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	3  	57  	0
1 	1 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	1   	2  	50  	3
1 	1 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	1   	-1 	53  	2
1 	1 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	1
2 	2 	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	-1  	2  	50  	13
2 	2 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	-1  	-1 	53  	8
2 	2 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	4
2 	2 	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	14
2 	2 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	9
2 	2 	1/4     	1/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	5
2 	2 	3/8     	3/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	6
2 	2 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	15
2 	2 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	10
2 	2 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	57  	7
2 	2 	3/4     	3/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	2  	50  	16
2 	2 	3/4     	3/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	53  	11
2 	2 	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	2  	50  	17
2 	2 	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	53  	12
3 	3 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	2  	50  	23
3 	3 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	53  	20
3 	3 	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	3  	57  	18
3 	3 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	1   	2  	50  	24
3 	3 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	21
3 	3 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	22
3 	3 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	19
4 	4 	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	-1  	2  	50  	31
4 	4 	0       	0       	4/4    	4    	1    	3/8     	1/4             	3/2   	    	-1 	53  	28
4 	4 	0       	0       	4/4    	3    	1    	3/8     	1/4             	3/2   	    	3  	57  	25
4 	4 	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	32
4 	4 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	53  	29
4 	4 	3/8     	3/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	26
4 	4 	1/2     	1/2     	4/4    	5    	1    	3/8     	1/4             	3/2   	    	2  	50  	33
4 	4 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	1   	-1 	53  	30
4 	4 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	57  	27
4 	4 	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	48  	34
5 	5 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	-2 	46  	41
5 	5 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	-1  	-1 	53  	38
5 	5 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	35
5 	5 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	50  	39
5 	5 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	55  	36
5 	5 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	-2 	46  	42
5 	5 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	50  	40
5 	5 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	55  	37
6 	6 	0       	0       	4/4    	5    	1    	1       	1               	1     	1   	3  	45  	51
6 	6 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	52  	47
6 	6 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	43
6 	6 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	48
6 	6 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	44
6 	6 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	52  	49
6 	6 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	55  	45
6 	6 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	50
6 	6 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	46
7 	7 	0       	0       	4/4    	5    	1    	1       	1               	1     	0   	3  	45  	60
7 	7 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	50  	56
7 	7 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	6  	54  	52
7 	7 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	52  	57
7 	7 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	55  	53
7 	7 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	7  	49  	58
7 	7 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	52  	54
7 	7 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	1   	2  	50  	59
7 	7 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	1   	-1 	53  	55
8 	8 	0       	0       	4/4    	5    	1    	1       	1               	1     	-1  	3  	45  	69
8 	8 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	-1  	2  	50  	65
8 	8 	0       	0       	4/4    	3    	1    	1/8     	1/8             	1     	-1  	-1 	53  	61
8 	8 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	66
8 	8 	1/8     	1/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	-1 	53  	62
8 	8 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	50  	67
8 	8 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	53  	63
8 	8 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	7  	49  	68
8 	8 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	52  	64
9 	9 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	50  	70
9 	9 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	50  	74
9 	9 	0       	0       	4/4    	5    	1    	1       	1               	1     	1   	2  	50  	78
9 	9 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	75
9 	9 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	71
9 	9 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	3  	57  	76
9 	9 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	72
9 	9 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	77
9 	9 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	73
10	10	0       	0       	4/4    	5    	1    	1       	1               	1     	-1  	2  	50  	87
10	10	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	1  	55  	83
10	10	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	5  	59  	79
10	10	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	3  	57  	84
10	10	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	80
10	10	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	6  	54  	85
10	10	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	81
10	10	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	1   	1  	55  	86
10	10	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	1   	-2 	58  	82
11	11	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	-1  	1  	55  	92
11	11	0       	0       	4/4    	3    	1    	1/8     	1/8             	1     	-1  	-2 	58  	88
11	11	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	55  	93
