mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	1  	67  	0
1 	1 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	1
2 	2 	0       	0       	4/4    	5    	1    	3/4     	1/2             	3/2   	    	1  	55  	9
2 	2 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	67  	6
2 	2 	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	-2 	70  	4
2 	2 	0       	0       	4/4    	1    	1    	3/4     	1/2             	3/2   	    	2  	74  	2
2 	2 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	7
2 	2 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	10
2 	2 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	8
2 	2 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	5
2 	2 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	3
3 	3 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	55  	18
3 	3 	0       	0       	4/4    	3    	1    	1       	1               	1     	1   	1  	67  	17
3 	3 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	-2 	70  	14
3 	3 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	2  	74  	11
3 	3 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	19
3 	3 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	15
3 	3 	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	12
3 	3 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	20
3 	3 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	16
3 	3 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	13
4 	4 	0       	0       	4/4    	5    	1    	3/4     	1/2             	3/2   	    	1  	55  	27
4 	4 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	-1  	1  	67  	25
4 	4 	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	-2 	70  	23
4 	4 	0       	0       	4/4    	1    	1    	3/4     	1/2             	3/2   	    	2  	74  	21
4 	4 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	62  	26
4 	4 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	28
4 	4 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	24
4 	4 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	5  	71  	22
5 	5 	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	    	-1 	53  	38
5 	5 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	35
5 	5 	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	32
5 	5 	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	    	0  	72  	29
5 	5 	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	39
5 	5 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	36
5 	5 	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	33
5 	5 	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	30
5 	5 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	0  	48  	40
5 	5 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	67  	37
5 	5 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	    	0  	72  	34
5 	5 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	4  	76  	31
6 	6 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	-2 	46  	46
6 	6 	0       	0       	4/4    	4    	1    	3/4     	1/2             	3/2   	    	2  	62  	44
6 	6 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	-2 	70  	43
6 	6 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	2  	74  	42
6 	6 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	-1 	77  	41
6 	6 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	45
7 	7 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	62  	53
7 	7 	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	3  	69  	51
7 	7 	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	2  	74  	49
