mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1  	1  	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	1  	67  	0
1  	1  	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	1
1  	1  	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	4  	76  	2
2  	2  	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	2  	62  	8
2  	2  	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	    	-1 	77  	3
2  	2  	1/4     	1/4     	4/4    	1    	1    	1/8     	1/8             	1     	    	-1 	77  	4
2  	2  	3/8     	3/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	-1 	77  	5
2  	2  	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	9
2  	2  	1/2     	1/2     	4/4    	1    	1    	3/8     	1/4             	3/2   	    	4  	76  	6
2  	2  	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	10
2  	2  	7/8     	7/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	4  	76  	7
3  	3  	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	15
3  	3  	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	11
3  	3  	1/4     	1/4     	4/4    	2    	1    	1/8     	1/8             	1     	    	-2 	70  	16
3  	3  	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	1  	79  	12
3  	3  	3/8     	3/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	-2 	70  	17
3  	3  	1/2     	1/2     	4/4    	2    	1    	3/8     	1/4             	3/2   	    	3  	69  	18
3  	3  	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	1  	79  	13
3  	3  	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	6  	78  	14
3  	3  	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	3  	69  	19
4  	4  	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	1  	55  	28
4  	4  	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	24
4  	4  	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	    	1  	79  	20
4  	4  	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	21
4  	4  	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	74  	25
4  	4  	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	29
4  	4  	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	74  	26
4  	4  	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	-1 	77  	22
4  	4  	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	64  	30
4  	4  	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	7  	73  	27
4  	4  	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	1   	4  	76  	23
5  	5  	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	2  	38  	45
5  	5  	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	40
5  	5  	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	74  	35
5  	5  	0       	0       	4/4    	1    	1    	1/8     	1/8             	1     	-1  	4  	76  	31
5  	5  	1/8     	1/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	2  	74  	32
5  	5  	1/4     	1/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	65  	41
5  	5  	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	36
5  	5  	1/4     	1/4     	4/4    	1    	1    	1/2     	1/2             	1     	    	2  	74  	33
5  	5  	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	-1 	65  	42
5  	5  	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	43  	46
5  	5  	1/2     	1/2     	4/4    	4    	1    	3/8     	1/4             	3/2   	    	4  	64  	43
5  	5  	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	37
5  	5  	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	3  	45  	47
5  	5  	3/4     	3/4     	4/4    	2    	1    	1/8     	1/8             	1     	    	3  	69  	38
5  	5  	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	7  	73  	34
5  	5  	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	64  	44
5  	5  	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	1  	67  	39
6  	6  	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	    	-2 	46  	58
6  	6  	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	54
6  	6  	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	-1 	65  	50
6  	6  	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	2  	74  	48
6  	6  	1/4     	1/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	-2 	46  	59
6  	6  	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	51
6  	6  	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	1  	67  	55
6  	6  	3/8     	3/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	-2 	46  	60
6  	6  	1/2     	1/2     	4/4    	5    	1    	3/8     	1/4             	3/2   	    	3  	45  	61
6  	6  	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	1  	67  	56
6  	6  	1/2     	1/2     	4/4    	2    	1    	3/8     	1/4             	3/2   	    	3  	69  	52
6  	6  	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	0  	72  	49
6  	6  	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	6  	66  	57
6  	6  	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	3  	45  	62
6  	6  	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	3  	69  	53
7  	7  	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	43  	73
7  	7  	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	55  	66
7  	7  	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	2  	62  	65
7  	7  	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	1  	67  	69
7  	7  	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	-2 	70  	63
7  	7  	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	74
7  	7  	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	70
7  	7  	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	2  	50  	75
7  	7  	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	67
7  	7  	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	71
7  	7  	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	3  	69  	64
7  	7  	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	7  	49  	76
7  	7  	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	64  	68
7  	7  	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	1   	4  	64  	72
8  	8  	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	2  	50  	88
8  	8  	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	-1  	4  	64  	84
8  	8  	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	79
8  	8  	0       	0       	4/4    	1    	1    	1       	1               	1     	    	3  	69  	77
8  	8  	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	62  	85
8  	8  	1/4     	1/4     	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	62  	86
8  	8  	1/4     	1/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	-1 	65  	80
8  	8  	3/8     	3/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	-1 	65  	81
8  	8  	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	3  	45  	89
