mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	0	0	4/4	2	1		I(+2)	F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
3	3	1/2	1/2	4/4	2	1		IV(+6)	F	I		IV(+6)	IV			+6				M	0	0	-1, 3, 0	2	-1	-1
4	4	0	0	4/4	2	1		iii65	F	I		iii65	iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	1/2	1/2	4/4	2	1		ii43	F	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
5	5	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	1/4	1/4	4/4	2	1		IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
5	5	1/2	1/2	4/4	2	1		V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	0	0	4/4	2	1		I6(2)	F	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
6	6	1/4	1/4	4/4	2	1		vi43	F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
6	6	1/2	1/2	4/4	2	1		ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	5/8	5/8	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	3/4	3/4	4/4	2	1		V7(42)	F	I		V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
6	6	7/8	7/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	4/4	2	1		I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
7	7	1/2	1/2	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	0	0	4/4	2	1		vii%7(2)/IV	F	I		vii%7(2)/IV	vii	%	7	2	IV			%7	0	0	-1, 1, -2, 2		4	-1
9	9	1/2	1/2	4/4	2	1		vii%7/IV	F	I		vii%7/IV	vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
10	10	0	0	4/4	2	1		IVM7/IV	F	I		IVM7/IV	IV	M	7		IV			MM7	0	0	-2, 2, -1, 3		-2	-2
10	10	1/2	1/2	4/4	2	1		V7(+2)/IV	F	I		V7(+2)/IV	V		7	+2	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
11	11	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	3/4	3/4	4/4	2	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	0	0	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	1/8	1/8	4/4	2	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	12	3/8	3/8	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	1/2	1/2	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
12	12	5/8	5/8	4/4	2	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	7/8	7/8	4/4	2	1		I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
13	13	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	3/4	3/4	4/4	2	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	0	0	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	14	1/8	1/8	4/4	2	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
14	14	3/8	3/8	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	1/2	1/2	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
14	14	5/8	5/8	4/4	2	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
14	14	7/8	7/8	4/4	2	1		I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
15	15	0	0	4/4	2	1		ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
15	15	3/4	3/4	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	7/8	7/8	4/4	2	1		IV64	F	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
16	16	0	0	4/4	2	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
16	16	1/4	1/4	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
16	16	3/8	3/8	4/4	2	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	5/8	5/8	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
16	16	3/4	3/4	4/4	2	1		IV64	F	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
16	16	7/8	7/8	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	1/8	1/8	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
17	17	1/4	1/4	4/4	2	1		IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
17	17	3/8	3/8	4/4	2	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
17	17	5/8	5/8	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
17	17	3/4	3/4	4/4	2	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
17	17	7/8	7/8	4/4	2	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
18	18	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	1/8	1/8	4/4	2	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
18	18	1/4	1/4	4/4	2	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
