mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		a.iv7(+6){		a	i		iv7(+6)	iv		7	+6			{	mm7	1	1	-1, -4, 0, -3	2	-1	-1
2	2	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	3/4	2	1		V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
2	2	1/2	1/2	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	0	0	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
3	3	1/4	1/4	3/4	2	1		V7(+4+2)		a	i		V7(+4+2)	V		7	+4+2				Mm7	1	1	1, 5, 2, -1	0, -4	1	1
4	4	0	0	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	3/4	2	1		VIM7(+2)|DC		a	i		VIM7(+2)	VI	M	7	+2		DC		MM7	1	1	-4, 0, -3, 1	-2	-4	-4
5	5	1/4	1/4	3/4	2	1		ii7/VI		a	i		ii7/VI	ii		7		VI			mm7	1	1	-2, -5, -1, -4		-2	-2
5	5	1/2	1/2	3/4	2	1		V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
6	6	0	0	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	1/8	1/8	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	1/4	1/4	3/4	2	1		VIM7(+2)		a	i		VIM7(+2)	VI	M	7	+2				MM7	1	1	-4, 0, -3, 1	-2	-4	-4
6	6	1/2	1/2	3/4	2	1		ii7/VI		a	i		ii7/VI	ii		7		VI			mm7	1	1	-2, -5, -1, -4		-2	-2
7	7	0	0	3/4	2	1		V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
7	7	1/4	1/4	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	7	1/2	1/2	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	0	0	3/4	2	1		V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
8	8	1/4	1/4	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
8	8	1/2	1/2	3/4	2	1		V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
8	8	5/8	5/8	3/4	2	1		v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
9	9	0	0	3/4	2	1		V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
9	9	1/4	1/4	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	1/2	1/2	3/4	2	1		V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
10	10	0	0	3/4	2	1		III+		a	i		III+	III	+						+	1	1	-3, 1, 5		-3	-3
11	11	0	0	3/4	2	1		V43		a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	12	0	0	3/4	2	1		iv7(+6)|DC		a	i		iv7(+6)	iv		7	+6		DC		mm7	1	1	-1, -4, 0, -3	2	-1	-1
13	13	0	0	3/4	2	1		IV7(+6)		a	i		IV7(+6)	IV		7	+6				Mm7	1	1	-1, 3, 0, -3	2	-1	-1
14	14	0	0	3/4	2	1		iv7(+6)		a	i		iv7(+6)	iv		7	+6				mm7	1	1	-1, -4, 0, -3	2	-1	-1
15	15	0	0	3/4	2	1		IV7(+6)		a	i		IV7(+6)	IV		7	+6				Mm7	1	1	-1, 3, 0, -3	2	-1	-1
16	16	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
