mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	9/8	2	1		Db.I6{	Db	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
2	2	0	0	9/8	2	1		#viio2(64)/vi	Db	I		#viio2(64)/vi	#vii	o	2	64	vi			o7	0	0	-1, 8, 0, 4		8	-1
2	2	3/8	3/8	9/8	2	1		#viio2/vi	Db	I		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
3	3	0	0	9/8	2	1		vi43(42)	Db	I		vi43(42)	vi		43	42				mm7	0	0	4, 1, 5, 2		3	4
3	3	3/8	3/8	9/8	2	1		vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
4	4	0	0	9/8	2	1		V43(42)	Db	I		V43(42)	V		43	42				Mm7	0	0	2, -1, 3, 0		1	2
4	4	3/8	3/8	9/8	2	1		V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	0	0	9/8	2	1		ii2(6)	Db	I		ii2(6)	ii		2	6				mm7	0	0	0, 2, -1, 5		2	0
5	5	3/8	3/8	9/8	2	1		ii2	Db	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
5	5	3/4	3/4	9/8	2	1		V65	Db	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	0	0	9/8	2	1		ii43(4)	Db	I		ii43(4)	ii		43	4				mm7	0	0	3, 0, 2, 1		2	3
6	6	3/8	3/8	9/8	2	1		ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
6	6	3/4	3/4	9/8	2	1		V65/vi	Db	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
7	7	0	0	9/8	2	1		vi2	Db	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
7	7	3/4	3/4	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	0	0	9/8	2	1		vi43(4)	Db	I		vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
8	8	3/8	3/8	9/8	2	1		vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
8	8	3/4	3/4	9/8	2	1		V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	15/16	15/16	9/8	2	1		V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	9/8	2	1		I|IAC}{	Db	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
