mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		f#.i	f#	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	2	1		V43	f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	2	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	1/2	1/2	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/4	2	1		V43	f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	4	0	0	4/4	2	1		i6(4)	f#	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0	-1
4	4	1/4	1/4	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	1/2	1/2	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	4/4	2	1		v	f#	i		v		v							m	1	1	1, -2, 2		1	1
6	6	1/2	1/2	4/4	2	1		v2	f#	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
7	7	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	4/4	2	1		V43(4)	f#	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
7	7	3/4	3/4	4/4	2	1		V43	f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
8	8	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	4/4	2	1		V43(4)/III	f#	i		V43(4)/III		V		43	4	III			Mm7	1	1	-1, -4, -2, -3		-2	-1
8	8	3/4	3/4	4/4	2	1		V43/III	f#	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
9	9	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
9	9	1/2	1/2	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
