mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-5	9/8	9/8	0						firstMeasure	2
2	2	-5	9/8	9/8	0							3
3	3	-5	9/8	9/8	0							4
4	4	-5	9/8	9/8	0							5
5	5	-5	9/8	9/8	0					line		6
6	6	-5	9/8	9/8	0							7
7	7	-5	9/8	9/8	0							8
8	8	-5	9/8	9/8	0							9
9	9	-5	9/8	9/8	0							10
10	10	-5	9/8	9/8	0					line		11
11	11	-5	9/8	9/8	0							12
12	12	-5	9/8	9/8	0							13
13	13	-5	9/8	9/8	0							14
14	14	-5	9/8	9/8	0							15
15	15	-5	9/8	9/8	0					line		16
16	16	-5	9/8	9/8	0							17
17	17	-5	9/8	9/8	0							18
18	18	-5	9/8	9/8	0							19
19	19	-5	9/8	9/8	0							20
20	20	-5	9/8	9/8	0					line		21
21	21	-5	9/8	9/8	0							22
22	22	-5	9/8	9/8	0							23
23	23	-5	9/8	9/8	0							24
24	24	-5	9/8	9/8	0							25
25	25	-5	9/8	9/8	0							26
26	26	-5	9/8	9/8	0					page		27
27	27	-5	9/8	9/8	0							28
28	28	-5	9/8	9/8	0					line		29
29	29	-5	9/8	9/8	0							30
30	30	-5	9/8	9/8	0					line		31
31	31	-5	9/8	9/8	0							32
32	32	-5	9/8	9/8	0					line		33
33	33	-5	9/8	9/8	0							34
34	34	-5	9/8	9/8	0					line		35
35	35	-5	9/8	9/8	0							36
36	36	-5	9/8	9/8	0				double	line		37
37	37	4	9/8	9/8	0							38
38	38	4	9/8	9/8	0					page		39
39	39	4	9/8	9/8	0							40
40	40	4	9/8	9/8	0					line		41
41	41	4	9/8	9/8	0							42
42	42	4	9/8	9/8	0					line		43
43	43	-5	9/8	9/8	0							44
44	44	-5	9/8	9/8	0					line		45
45	45	-5	9/8	9/8	0							46
46	46	-5	9/8	9/8	0					line		47
47	47	-5	9/8	9/8	0							48
48	48	-5	9/8	9/8	0					line		49
49	49	-5	9/8	9/8	0							50
50	50	-5	9/8	9/8	0							51
51	51	-5	9/8	9/8	0					page		52
52	52	-5	9/8	9/8	0							53
53	53	-5	9/8	9/8	0							54
54	54	-5	9/8	9/8	0					line		55
55	55	-5	9/8	9/8	0							56
56	56	-5	9/8	9/8	0							57
57	57	-5	9/8	9/8	0					line		58
58	58	-5	9/8	9/8	0							59
59	59	-5	9/8	9/8	0							60
60	60	-5	9/8	9/8	0							61
61	61	-5	9/8	9/8	0					line		62
62	62	-5	9/8	9/8	0							63
63	63	-5	9/8	9/8	0							64
64	64	-5	9/8	9/8	0							65
65	65	-5	9/8	9/8	0					line		66
66	66	-5	9/8	9/8	0							67
67	67	-5	9/8	9/8	0							68
68	68	-5	9/8	9/8	0					line		69
69	69	-5	9/8	9/8	0							70
70	70	-5	9/8	9/8	0							71
71	71	-5	9/8	9/8	0							72
72	72	-5	9/8	9/8	0				end		lastMeasure	-1
